Player,Pos,home_team,team,week,year,game_id
Tommy DeVito,QB,0,Giants,15.0,2023,219
Saquon Barkley,RB,0,Giants,15.0,2023,219
Darius Slayton,WR,0,Giants,15.0,2023,219
Wan'Dale Robinson,WR,0,Giants,15.0,2023,219
Jalin Hyatt,WR,0,Giants,15.0,2023,219
Daniel Bellinger,TE,0,Giants,15.0,2023,219
Justin Pugh,OL,0,Giants,15.0,2023,219
Andrew Thomas,T,0,Giants,15.0,2023,219
Tyre Phillips,T,0,Giants,15.0,2023,219
Ben Bredeson,G,0,Giants,15.0,2023,219
John Michael Schmitz,C,0,Giants,15.0,2023,219
Dexter Lawrence,DL,0,Giants,15.0,2023,219
A'Shawn Robinson,DL,0,Giants,15.0,2023,219
Azeez Ojulari,OLB,0,Giants,15.0,2023,219
Kayvon Thibodeaux,OLB,0,Giants,15.0,2023,219
Micah McFadden,LB,0,Giants,15.0,2023,219
Bobby Okereke,LB,0,Giants,15.0,2023,219
Adoree' Jackson,CB,0,Giants,15.0,2023,219
Cordale Flott,CB,0,Giants,15.0,2023,219
Deonte Banks,CB,0,Giants,15.0,2023,219
Xavier McKinney,S,0,Giants,15.0,2023,219
Jason Pinnock,S,0,Giants,15.0,2023,219
