Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST,home_team,team,week,year,game_id
Player,Pos,Num,Pct,Num,Pct,Num,Pct,,,,,
Bernhard Raimann,T,71,100%,0,0%,2,7%,0,Colts,16.0,2023,228
Will Fries,G,71,100%,0,0%,2,7%,0,Colts,16.0,2023,228
Ryan Kelly,C,71,100%,0,0%,0,0%,0,Colts,16.0,2023,228
Gardner Minshew II,QB,71,100%,0,0%,0,0%,0,Colts,16.0,2023,228
Alec Pierce,WR,71,100%,0,0%,0,0%,0,Colts,16.0,2023,228
Quenton Nelson,G,71,100%,0,0%,0,0%,0,Colts,16.0,2023,228
Blake Freeland,T,71,100%,0,0%,0,0%,0,Colts,16.0,2023,228
Josh Downs,WR,66,93%,0,0%,10,36%,0,Colts,16.0,2023,228
D.J. Montgomery,WR,61,86%,0,0%,1,4%,0,Colts,16.0,2023,228
Jonathan Taylor,RB,42,59%,0,0%,0,0%,0,Colts,16.0,2023,228
Kylen Granson,TE,28,39%,0,0%,13,46%,0,Colts,16.0,2023,228
Will Mallory,TE,27,38%,0,0%,0,0%,0,Colts,16.0,2023,228
Mo Alie-Cox,TE,19,27%,0,0%,6,21%,0,Colts,16.0,2023,228
Tyler Goodson,RB,14,20%,0,0%,1,4%,0,Colts,16.0,2023,228
Trey Sermon,RB,14,20%,0,0%,0,0%,0,Colts,16.0,2023,228
Andrew Ogletree,TE,11,15%,0,0%,6,21%,0,Colts,16.0,2023,228
Ethan Fernea,WR,2,3%,0,0%,12,43%,0,Colts,16.0,2023,228
Zaire Franklin,LB,0,0%,64,100%,9,32%,0,Colts,16.0,2023,228
Kenny Moore,CB,0,0%,64,100%,8,29%,0,Colts,16.0,2023,228
Julius Brents,CB,0,0%,64,100%,4,14%,0,Colts,16.0,2023,228
E.J. Speed,LB,0,0%,61,95%,13,46%,0,Colts,16.0,2023,228
Rodney Thomas II,FS,0,0%,61,95%,11,39%,0,Colts,16.0,2023,228
Nick Cross,SS,0,0%,55,86%,22,79%,0,Colts,16.0,2023,228
Jaylon Jones,CB,0,0%,48,75%,1,4%,0,Colts,16.0,2023,228
DeForest Buckner,DT,0,0%,47,73%,1,4%,0,Colts,16.0,2023,228
Grover Stewart,DT,0,0%,39,61%,11,39%,0,Colts,16.0,2023,228
Kwity Paye,DE,0,0%,37,58%,1,4%,0,Colts,16.0,2023,228
Samson Ebukam,DE,0,0%,37,58%,0,0%,0,Colts,16.0,2023,228
Dayo Odeyingbo,DE,0,0%,30,47%,9,32%,0,Colts,16.0,2023,228
Tyquan Lewis,DE,0,0%,27,42%,7,25%,0,Colts,16.0,2023,228
Taven Bryan,DT,0,0%,18,28%,10,36%,0,Colts,16.0,2023,228
Ronnie Harrison,LB,0,0%,15,23%,12,43%,0,Colts,16.0,2023,228
Adetomiwa Adebawore,DT,0,0%,15,23%,6,21%,0,Colts,16.0,2023,228
Julian Blackmon,FS,0,0%,12,19%,2,7%,0,Colts,16.0,2023,228
Jacob Martin,DE,0,0%,6,9%,10,36%,0,Colts,16.0,2023,228
Isaiah Land,DE,0,0%,4,6%,0,0%,0,Colts,16.0,2023,228
Ameer Speed,SS,0,0%,0,0%,25,89%,0,Colts,16.0,2023,228
Grant Stuard,LB,0,0%,0,0%,25,89%,0,Colts,16.0,2023,228
Trevor Denbow,FS,0,0%,0,0%,17,61%,0,Colts,16.0,2023,228
Chris Lammons,CB,0,0%,0,0%,17,61%,0,Colts,16.0,2023,228
Cameron McGrone,LB,0,0%,0,0%,13,46%,0,Colts,16.0,2023,228
Luke Rhodes,LS,0,0%,0,0%,6,21%,0,Colts,16.0,2023,228
Rigoberto Sanchez,P,0,0%,0,0%,6,21%,0,Colts,16.0,2023,228
Matt Gay,K,0,0%,0,0%,5,18%,0,Colts,16.0,2023,228
Wesley French,C,0,0%,0,0%,2,7%,0,Colts,16.0,2023,228
Josh Sills,G,0,0%,0,0%,2,7%,0,Colts,16.0,2023,228
