Unnamed: 0_level_0,Unnamed: 1_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,week,year,game_id
Player,Tm,Tgt,Rec,Yds,TD,Lng,,,
Jared Goff,DET,0,0,0,0,0,16.0,2023,231
Jahmyr Gibbs,DET,7,4,20,0,8,16.0,2023,231
David Montgomery,DET,2,2,14,0,9,16.0,2023,231
Kalif Raymond,DET,2,2,29,0,18,16.0,2023,231
Amon-Ra St. Brown,DET,14,12,106,1,25,16.0,2023,231
Jameson Williams,DET,6,5,43,0,12,16.0,2023,231
Sam LaPorta,DET,3,3,18,0,7,16.0,2023,231
Josh Reynolds,DET,4,1,16,0,16,16.0,2023,231
Donovan Peoples-Jones,DET,1,1,11,0,11,16.0,2023,231
Nick Mullens,MIN,0,0,0,0,0,16.0,2023,231
Ty Chandler,MIN,0,0,0,0,0,16.0,2023,231
Justin Jefferson,MIN,10,6,141,1,29,16.0,2023,231
K.J. Osborn,MIN,7,5,95,1,47,16.0,2023,231
T.J. Hockenson,MIN,4,4,58,0,24,16.0,2023,231
Brandon Powell,MIN,4,3,53,0,26,16.0,2023,231
Josh Oliver,MIN,2,1,33,0,33,16.0,2023,231
Johnny Mundt,MIN,3,1,23,0,23,16.0,2023,231
C.J. Ham,MIN,1,1,6,0,6,16.0,2023,231
Jordan Addison,MIN,4,1,2,0,2,16.0,2023,231
Alexander Mattison,MIN,0,0,0,0,0,16.0,2023,231
