Unnamed: 0,NWE,DEN,week,year,game_id
First Downs,12,19,16.0,2023,237
Rush-Yds-TDs,21-59-0,23-83-1,16.0,2023,237
Cmp-Att-Yd-TD-INT,25-33-256-2-0,25-37-238-2-0,16.0,2023,237
Sacked-Yards,2-26,5-45,16.0,2023,237
Net Pass Yards,230,193,16.0,2023,237
Total Yards,289,276,16.0,2023,237
Fumbles-Lost,2-1,4-2,16.0,2023,237
Turnovers,1,2,16.0,2023,237
Penalties-Yards,3-25,2-25,16.0,2023,237
Third Down Conv.,3-13,4-13,16.0,2023,237
Fourth Down Conv.,0-0,1-2,16.0,2023,237
Time of Possession,28:42,31:18,16.0,2023,237
