Player,Pos,home_team,team,week,year,game_id
Aidan O'Connell,QB,0,Raiders,16.0,2023,238
Zamir White,RB,0,Raiders,16.0,2023,238
Jakob Johnson,FB,0,Raiders,16.0,2023,238
Jakobi Meyers,WR,0,Raiders,16.0,2023,238
Davante Adams,WR,0,Raiders,16.0,2023,238
Austin Hooper,TE,0,Raiders,16.0,2023,238
Jermaine Eluemunor,OL,0,Raiders,16.0,2023,238
Thayer Munford,T,0,Raiders,16.0,2023,238
Greg Van Roten,G,0,Raiders,16.0,2023,238
Dylan Parham,G,0,Raiders,16.0,2023,238
Andre James,C,0,Raiders,16.0,2023,238
Malcolm Koonce,DE,0,Raiders,16.0,2023,238
Maxx Crosby,DE,0,Raiders,16.0,2023,238
John Jenkins,DT,0,Raiders,16.0,2023,238
Bilal Nichols,DT,0,Raiders,16.0,2023,238
Robert Spillane,LB,0,Raiders,16.0,2023,238
Divine Deablo,LB,0,Raiders,16.0,2023,238
Jack Jones,CB,0,Raiders,16.0,2023,238
Nate Hobbs,CB,0,Raiders,16.0,2023,238
Amik Robertson,CB,0,Raiders,16.0,2023,238
Tre'von Moehrig,S,0,Raiders,16.0,2023,238
Marcus Epps,S,0,Raiders,16.0,2023,238
