Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Tony Pollard,DAL,12,38,0,3.0,12,1.0,26,2.2,2,6.0,16.0,2023,236
Dak Prescott,DAL,5,25,0,1.0,21,4.2,4,0.8,0,,16.0,2023,236
Rico Dowdle,DAL,2,4,0,1.0,3,1.5,1,0.5,0,,16.0,2023,236
CeeDee Lamb,DAL,2,14,0,0.0,11,5.5,3,1.5,1,2.0,16.0,2023,236
Hunter Luepke,DAL,2,3,0,2.0,0,0.0,3,1.5,0,,16.0,2023,236
Brandin Cooks,DAL,1,9,0,0.0,8,8.0,1,1.0,0,,16.0,2023,236
KaVontae Turpin,DAL,1,4,0,,3,3.0,1,1.0,0,,16.0,2023,236
Raheem Mostert,MIA,11,46,0,3.0,18,1.6,28,2.5,1,11.0,16.0,2023,236
De'Von Achane,MIA,7,24,0,,4,0.6,20,2.9,1,7.0,16.0,2023,236
Jeff Wilson,MIA,5,21,0,1.0,10,2.0,11,2.2,0,,16.0,2023,236
Tua Tagovailoa,MIA,2,-2,0,0.0,-2,-1.0,0,0.0,0,,16.0,2023,236
Jaylen Waddle,MIA,1,2,0,0.0,2,2.0,0,0.0,0,,16.0,2023,236
