Player,Pos,home_team,team,week,year,game_id
Geno Smith,QB,0,Seahawks,16.0,2023,233
Kenneth Walker III,RB,0,Seahawks,16.0,2023,233
D.K. Metcalf,WR,0,Seahawks,16.0,2023,233
Tyler Lockett,WR,0,Seahawks,16.0,2023,233
Will Dissly,TE,0,Seahawks,16.0,2023,233
Noah Fant,TE,0,Seahawks,16.0,2023,233
Abraham Lucas,T,0,Seahawks,16.0,2023,233
Charles Cross,T,0,Seahawks,16.0,2023,233
Anthony Bradford,G,0,Seahawks,16.0,2023,233
Damien Lewis,G,0,Seahawks,16.0,2023,233
Evan Brown,C,0,Seahawks,16.0,2023,233
Leonard Williams,DL,0,Seahawks,16.0,2023,233
Dre'Mont Jones,DE,0,Seahawks,16.0,2023,233
Jarran Reed,DE,0,Seahawks,16.0,2023,233
Myles Adams,DT,0,Seahawks,16.0,2023,233
Devin Bush Jr.,LB,0,Seahawks,16.0,2023,233
Boye Mafe,LB,0,Seahawks,16.0,2023,233
Jordyn Brooks,LB,0,Seahawks,16.0,2023,233
Michael Jackson,CB,0,Seahawks,16.0,2023,233
Riq Woolen,CB,0,Seahawks,16.0,2023,233
Quandre Diggs,FS,0,Seahawks,16.0,2023,233
Julian Love,S,0,Seahawks,16.0,2023,233
