Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,week,year,game_id
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF,,,
Charvarius Ward,SFO,1,3,0,3,1,0.0,4,3,1,1,0,0,0,0,0,17.0,2023,252
Deommodore Lenoir,SFO,1,0,0,0,2,0.0,3,2,1,0,0,0,0,0,0,17.0,2023,252
Clelin Ferrell,SFO,0,0,0,0,0,1.0,2,1,1,1,3,0,0,0,0,17.0,2023,252
Dre Greenlaw,SFO,0,0,0,0,0,0.0,10,6,4,0,0,0,0,0,0,17.0,2023,252
Fred Warner,SFO,0,0,0,0,0,0.0,6,2,4,0,0,0,0,0,0,17.0,2023,252
Logan Ryan,SFO,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0,17.0,2023,252
Nick Bosa,SFO,0,0,0,0,1,0.0,3,2,1,2,2,0,0,0,0,17.0,2023,252
Tashaun Gipson,SFO,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,17.0,2023,252
Javon Kinlaw,SFO,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0,17.0,2023,252
Robert Beal,SFO,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,17.0,2023,252
Oren Burks,SFO,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,17.0,2023,252
Kevin Givens,SFO,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,17.0,2023,252
Javon Hargrave,SFO,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,17.0,2023,252
Isaiah Oliver,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,17.0,2023,252
Ambry Thomas,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,17.0,2023,252
Samuel Womack,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,17.0,2023,252
Chase Young,SFO,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,0,17.0,2023,252
Sam Darnold,SFO,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,17.0,2023,252
Cody Barton,WAS,0,0,0,0,0,0.0,12,9,3,1,0,0,0,0,0,17.0,2023,252
Khaleke Hudson,WAS,0,0,0,0,0,0.0,11,4,7,0,0,0,0,0,0,17.0,2023,252
Kamren Curl,WAS,0,0,0,0,0,0.0,9,6,3,0,0,0,0,0,0,17.0,2023,252
David Mayo,WAS,0,0,0,0,0,0.0,8,6,2,2,0,0,0,0,0,17.0,2023,252
Jonathan Allen,WAS,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0,17.0,2023,252
Terrell Burgess,WAS,0,0,0,0,0,0.0,4,1,3,0,0,0,0,0,0,17.0,2023,252
Emmanuel Forbes,WAS,0,0,0,0,1,0.0,4,4,0,0,0,0,0,0,0,17.0,2023,252
Quan Martin,WAS,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0,17.0,2023,252
James Smith-Williams,WAS,0,0,0,0,0,0.0,4,2,2,0,1,0,0,0,0,17.0,2023,252
Casey Toohill,WAS,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0,17.0,2023,252
Tariq Castro-Fields,WAS,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0,17.0,2023,252
K.J. Henry,WAS,0,0,0,0,0,0.0,3,3,0,1,0,0,0,0,0,17.0,2023,252
Christian Holmes,WAS,0,0,0,0,1,0.0,3,1,2,0,0,0,0,0,0,17.0,2023,252
Phidarian Mathis,WAS,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0,17.0,2023,252
John Bates,WAS,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,17.0,2023,252
Jabril Cox,WAS,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,17.0,2023,252
Daron Payne,WAS,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0,17.0,2023,252
Byron Pringle,WAS,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,17.0,2023,252
John Ridgeway,WAS,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,17.0,2023,252
