Player,Tm,Passing Cmp,Passing Att,Passing Yds,Passing TD,Passing Int,Passing Sk,Passing Yds.1,Passing Lng,Passing Rate,week,year,game_id
Tua Tagovailoa,MIA,22,38,237,2,2,3,16,25,71.9,17.0,2023,249
De'Von Achane,MIA,0,0,0,0,0,0,0,0,,17.0,2023,249
Jeff Wilson,MIA,0,0,0,0,0,0,0,0,,17.0,2023,249
Chris Brooks,MIA,0,0,0,0,0,0,0,0,,17.0,2023,249
Tyreek Hill,MIA,0,0,0,0,0,0,0,0,,17.0,2023,249
Durham Smythe,MIA,0,0,0,0,0,0,0,0,,17.0,2023,249
Cedrick Wilson Jr.,MIA,0,0,0,0,0,0,0,0,,17.0,2023,249
Alec Ingold,MIA,0,0,0,0,0,0,0,0,,17.0,2023,249
Braxton Berrios,MIA,0,0,0,0,0,0,0,0,,17.0,2023,249
Julian Hill,MIA,0,0,0,0,0,0,0,0,,17.0,2023,249
River Cracraft,MIA,0,0,0,0,0,0,0,0,,17.0,2023,249
Chase Claypool,MIA,0,0,0,0,0,0,0,0,,17.0,2023,249
Mike White,MIA,0,0,0,0,0,0,0,0,,17.0,2023,249
Robbie Chosen,MIA,0,0,0,0,0,0,0,0,,17.0,2023,249
Lamar Jackson,BAL,18,21,321,5,0,1,9,75,158.3,17.0,2023,249
Tyler Huntley,BAL,1,1,19,1,0,0,0,19,158.3,17.0,2023,249
Gus Edwards,BAL,0,0,0,0,0,0,0,0,,17.0,2023,249
Justice Hill,BAL,0,0,0,0,0,0,0,0,,17.0,2023,249
Melvin Gordon,BAL,0,0,0,0,0,0,0,0,,17.0,2023,249
Zay Flowers,BAL,0,0,0,0,0,0,0,0,,17.0,2023,249
Rashod Bateman,BAL,0,0,0,0,0,0,0,0,,17.0,2023,249
Isaiah Likely,BAL,0,0,0,0,0,0,0,0,,17.0,2023,249
Odell Beckham Jr.,BAL,0,0,0,0,0,0,0,0,,17.0,2023,249
Charlie Kolar,BAL,0,0,0,0,0,0,0,0,,17.0,2023,249
Nelson Agholor,BAL,0,0,0,0,0,0,0,0,,17.0,2023,249
Patrick Ricard,BAL,0,0,0,0,0,0,0,0,,17.0,2023,249
