Player,Tm,Def Interceptions Int,Def Interceptions Yds,Def Interceptions TD,Def Interceptions Lng,Def Interceptions PD,Sk,Tackles Comb,Tackles Solo,Tackles Ast,Tackles TFL,Tackles QBHits,Fumbles FR,Fumbles Yds,Fumbles TD,Fumbles FF,week,year,game_id
Brian Burns,CAR,0,0,0,0,0,1.0,8,5,3,2,2,0,0,0,0,17.0,2023,245
Deion Jones,CAR,0,0,0,0,0,1.0,7,4,3,1,1,0,0,0,0,17.0,2023,245
Yetur Gross-Matos,CAR,0,0,0,0,0,1.0,3,1,2,1,2,0,0,0,0,17.0,2023,245
Derrick Brown,CAR,0,0,0,0,1,0.0,8,3,5,0,0,0,0,0,0,17.0,2023,245
Shaquill Griffin,CAR,0,0,0,0,1,0.0,5,4,1,0,0,0,0,0,0,17.0,2023,245
Frankie Luvu,CAR,0,0,0,0,0,0.0,5,1,4,0,1,0,0,0,0,17.0,2023,245
Vonn Bell,CAR,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0,17.0,2023,245
Marquis Haynes,CAR,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0,17.0,2023,245
Donte Jackson,CAR,0,0,0,0,0,0.0,4,3,1,2,0,0,0,0,0,17.0,2023,245
AJ Parker,CAR,0,0,0,0,0,0.0,4,1,3,0,0,0,0,0,0,17.0,2023,245
Xavier Woods,CAR,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0,17.0,2023,245
Nick Thurman,CAR,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0,17.0,2023,245
DeShawn Williams,CAR,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0,17.0,2023,245
Kamu Grugier-Hill,CAR,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,17.0,2023,245
D'Shawn Jamison,CAR,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,17.0,2023,245
Jeremy Chinn,CAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,17.0,2023,245
Alex Cook,CAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,17.0,2023,245
Shy Tuttle,CAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,17.0,2023,245
Antonio Johnson,JAX,1,27,0,27,1,0.0,2,2,0,0,0,0,0,0,0,17.0,2023,245
Josh Hines-Allen,JAX,0,0,0,0,0,3.0,6,5,1,3,4,0,0,0,0,17.0,2023,245
Travon Walker,JAX,0,0,0,0,0,2.0,6,6,0,2,2,0,0,0,0,17.0,2023,245
Roy Robertson-Harris,JAX,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,0,17.0,2023,245
Tyson Campbell,JAX,0,0,0,0,1,0.0,8,7,1,1,0,0,0,0,0,17.0,2023,245
Devin Lloyd,JAX,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0,17.0,2023,245
Foyesade Oluokun,JAX,0,0,0,0,1,0.0,6,3,3,0,1,0,0,0,0,17.0,2023,245
Andre Cisco,JAX,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0,17.0,2023,245
Tre Herndon,JAX,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0,17.0,2023,245
Rayshawn Jenkins,JAX,0,0,0,0,1,0.0,3,0,3,0,0,0,0,0,0,17.0,2023,245
Folorunso Fatukasi,JAX,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,17.0,2023,245
Caleb Johnson,JAX,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,17.0,2023,245
Tyler Lacy,JAX,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,17.0,2023,245
Jeremiah Ledbetter,JAX,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,17.0,2023,245
Darious Williams,JAX,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0,17.0,2023,245
Andrew Wingard,JAX,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,17.0,2023,245
