Player,Tm,Fumbles Fmb,Fumbles FL,week,year,game_id
Kyler Murray,ARI,1,0,17.0,2023,247
James Conner,ARI,0,0,17.0,2023,247
Michael Carter,ARI,0,0,17.0,2023,247
Rondale Moore,ARI,0,0,17.0,2023,247
Greg Dortch,ARI,0,0,17.0,2023,247
Trey McBride,ARI,0,0,17.0,2023,247
Michael Wilson,ARI,0,0,17.0,2023,247
Elijah Higgins,ARI,0,0,17.0,2023,247
Emari Demercado,ARI,0,0,17.0,2023,247
Jalen Hurts,PHI,0,0,17.0,2023,247
Kenneth Gainwell,PHI,0,0,17.0,2023,247
D'Andre Swift,PHI,0,0,17.0,2023,247
A.J. Brown,PHI,0,0,17.0,2023,247
Dallas Goedert,PHI,0,0,17.0,2023,247
Julio Jones,PHI,0,0,17.0,2023,247
DeVonta Smith,PHI,0,0,17.0,2023,247
