Quarter,Time,Down,ToGo,Location,SFO,WAS,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Commanders won the coin toss and deferred, 49ers to receive the opening kickoff.",,,17.0,2023,252
1.0,15:00,,,WAS 35,0.0,0.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,252
1.0,15:00,1.0,10.0,SFO 25,0.0,0.0,Christian McCaffrey left end for 9 yards (tackle by Cody Barton and Kamren Curl),0.61,1.28,17.0,2023,252
1.0,14:22,2.0,1.0,SFO 34,0.0,0.0,Christian McCaffrey up the middle for 2 yards (tackle by Kamren Curl),1.28,1.33,17.0,2023,252
1.0,13:44,1.0,10.0,SFO 36,0.0,0.0,Christian McCaffrey right end for 2 yards (tackle by Jonathan Allen),1.33,1.06,17.0,2023,252
1.0,13:03,2.0,8.0,SFO 38,0.0,0.0,Brock Purdy pass complete short left to Brandon Aiyuk for 5 yards (tackle by Tariq Castro-Fields),1.06,1.03,17.0,2023,252
1.0,12:26,3.0,3.0,SFO 43,0.0,0.0,Brock Purdy scrambles up the middle for 4 yards (tackle by Casey Toohill),1.03,2.06,17.0,2023,252
1.0,11:42,1.0,10.0,SFO 47,0.0,0.0,Brock Purdy pass complete short left to George Kittle for 6 yards (tackle by Cody Barton),2.06,2.33,17.0,2023,252
1.0,11:06,2.0,4.0,WAS 47,0.0,0.0,Christian McCaffrey right tackle for 13 yards (tackle by Kamren Curl),2.33,3.31,17.0,2023,252
1.0,10:29,1.0,10.0,WAS 34,0.0,0.0,"Brock Purdy pass incomplete deep left intended for Kyle Juszczyk. Penalty on Tariq Castro-Fields: Defensive Holding, 5 yards (accepted) (no play)",3.31,3.64,17.0,2023,252
1.0,10:23,1.0,10.0,WAS 29,0.0,0.0,Brock Purdy pass complete short middle to Christian McCaffrey for 10 yards (tackle by Khaleke Hudson and Cody Barton),3.64,4.31,17.0,2023,252
1.0,9:45,1.0,10.0,WAS 19,0.0,0.0,Christian McCaffrey up the middle for 4 yards (tackle by James Smith-Williams),4.31,4.35,17.0,2023,252
1.0,9:06,2.0,6.0,WAS 15,0.0,0.0,Brock Purdy pass complete short right to Christian McCaffrey for -5 yards (tackle by James Smith-Williams and Khaleke Hudson),4.35,2.94,17.0,2023,252
1.0,8:20,3.0,11.0,WAS 20,0.0,0.0,Brock Purdy pass incomplete short right,2.94,2.12,17.0,2023,252
1.0,8:10,4.0,11.0,WAS 20,3.0,0.0,Jake Moody 38 yard field goal good,2.12,3.0,17.0,2023,252
1.0,8:06,,,SFO 35,3.0,0.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,252
1.0,8:06,1.0,10.0,WAS 25,3.0,0.0,Sam Howell pass complete short left to Curtis Samuel for 7 yards (tackle by Ambry Thomas),0.61,1.01,17.0,2023,252
1.0,7:31,2.0,3.0,WAS 32,3.0,0.0,Sam Howell pass incomplete deep left,1.01,0.3,17.0,2023,252
1.0,7:25,3.0,3.0,WAS 32,3.0,0.0,"Penalty on Trenton Scott: False Start, 5 yards (accepted) (no play)",0.3,-0.36,17.0,2023,252
1.0,7:25,3.0,8.0,WAS 27,3.0,0.0,Sam Howell pass incomplete short middle intended for Curtis Samuel (defended by Deommodore Lenoir),-0.36,-1.57,17.0,2023,252
1.0,7:21,4.0,8.0,WAS 27,3.0,0.0,"Tress Way punts 53 yards, returned by Ronnie Bell for 17 yards (tackle by John Bates)",-1.57,-1.4,17.0,2023,252
1.0,7:09,1.0,10.0,SFO 37,3.0,0.0,Christian McCaffrey right guard for 7 yards (tackle by Cody Barton),1.4,1.8,17.0,2023,252
1.0,6:31,2.0,3.0,SFO 44,3.0,0.0,Deebo Samuel left end for 10 yards (tackle by Quan Martin),1.8,2.52,17.0,2023,252
1.0,5:45,1.0,10.0,WAS 46,3.0,0.0,Brock Purdy pass complete short right to Brandon Aiyuk for 6 yards (tackle by Khaleke Hudson),2.52,2.79,17.0,2023,252
1.0,5:03,2.0,4.0,WAS 40,3.0,0.0,Christian McCaffrey left end for -5 yards (tackle by David Mayo),2.79,1.42,17.0,2023,252
1.0,4:19,3.0,9.0,WAS 45,3.0,0.0,Brock Purdy pass complete deep right to Brandon Aiyuk for 17 yards (tackle by Tariq Castro-Fields and Terrell Burgess),1.42,3.71,17.0,2023,252
1.0,3:33,1.0,10.0,WAS 28,3.0,0.0,Brock Purdy pass complete short middle to Deebo Samuel for 16 yards (tackle by Emmanuel Forbes),3.71,4.78,17.0,2023,252
1.0,2:55,1.0,10.0,WAS 12,3.0,0.0,Christian McCaffrey right tackle for 10 yards (tackle by Cody Barton and Casey Toohill),4.78,6.74,17.0,2023,252
1.0,2:15,1.0,2.0,WAS 2,3.0,0.0,Christian McCaffrey left tackle for no gain (tackle by Jonathan Allen and Tariq Castro-Fields),6.74,5.72,17.0,2023,252
1.0,1:35,2.0,2.0,WAS 2,9.0,0.0,"Brock Purdy pass complete short middle to Deebo Samuel for 2 yards, touchdown",5.72,7.0,17.0,2023,252
1.0,1:31,,,WAS 15,10.0,0.0,Jake Moody kicks extra point good,0.0,0.0,17.0,2023,252
1.0,1:31,,,SFO 35,10.0,0.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,252
1.0,1:31,1.0,10.0,WAS 25,10.0,0.0,Brian Robinson right guard for 12 yards (tackle by Tashaun Gipson),0.61,1.4,17.0,2023,252
1.0,0:50,1.0,10.0,WAS 37,10.0,0.0,Sam Howell pass complete short left to Brian Robinson for 22 yards (tackle by Dre Greenlaw and Charvarius Ward),1.4,2.85,17.0,2023,252
1.0,0:04,1.0,10.0,SFO 41,10.0,0.0,Sam Howell pass complete short right to Terry McLaurin for 5 yards (tackle by Charvarius Ward),2.85,2.98,17.0,2023,252
2.0,15:00,2.0,5.0,SFO 36,10.0,0.0,Brian Robinson right guard for 4 yards (tackle by Fred Warner and Javon Kinlaw),2.98,2.81,17.0,2023,252
2.0,14:23,3.0,1.0,SFO 32,10.0,0.0,Brian Robinson left guard for 2 yards (tackle by Dre Greenlaw),2.81,3.58,17.0,2023,252
2.0,13:37,1.0,10.0,SFO 30,10.0,0.0,Sam Howell pass complete short right to Antonio Gibson for 2 yards (tackle by Dre Greenlaw),3.58,3.3,17.0,2023,252
2.0,12:58,2.0,8.0,SFO 28,10.0,0.0,Sam Howell up the middle for -1 yards (tackle by Nick Bosa),3.3,2.48,17.0,2023,252
2.0,12:15,3.0,9.0,SFO 29,10.0,0.0,Sam Howell pass incomplete short right intended for Logan Thomas,2.48,1.5,17.0,2023,252
2.0,12:10,4.0,9.0,SFO 29,10.0,3.0,Joey Slye 47 yard field goal good,1.5,3.0,17.0,2023,252
2.0,12:05,,,WAS 35,10.0,3.0,"Joey Slye kicks off 62 yards, returned by Jordan Mason for 28 yards (tackle by Jabril Cox)",0.0,1.0,17.0,2023,252
2.0,12:00,1.0,10.0,SFO 31,10.0,3.0,Brock Purdy pass complete short middle to Christian McCaffrey for 12 yards (tackle by Cody Barton and Khaleke Hudson),1.0,1.8,17.0,2023,252
2.0,11:21,1.0,10.0,SFO 43,10.0,3.0,Christian McCaffrey right end for 3 yards (tackle by Kamren Curl),1.8,1.66,17.0,2023,252
2.0,10:42,2.0,7.0,SFO 46,10.0,3.0,Elijah Mitchell right tackle for 2 yards (tackle by K.J. Henry),1.66,1.22,17.0,2023,252
2.0,10:02,3.0,5.0,SFO 48,10.0,3.0,Brock Purdy pass incomplete short left intended for Ronnie Bell (defended by Christian Holmes),1.22,-0.19,17.0,2023,252
2.0,9:58,4.0,5.0,SFO 48,10.0,3.0,"Mitch Wishnowsky punts 36 yards, fair catch by Jamison Crowder at WAS-16",-0.19,0.14,17.0,2023,252
2.0,9:51,1.0,10.0,WAS 16,10.0,3.0,"Sam Howell pass complete short left to Curtis Samuel for no gain (tackle by Dre Greenlaw). Penalty on Javon Hargrave: Defensive Offside, 5 yards (accepted) (no play)",-0.14,0.74,17.0,2023,252
2.0,9:29,1.0,5.0,WAS 21,10.0,3.0,Sam Howell pass complete short middle to Terry McLaurin for 11 yards (tackle by Logan Ryan),0.74,1.07,17.0,2023,252
2.0,8:49,1.0,10.0,WAS 32,10.0,3.0,Sam Howell pass complete short left to Curtis Samuel for 1 yard (tackle by Fred Warner),1.07,0.66,17.0,2023,252
2.0,8:10,2.0,9.0,WAS 33,10.0,3.0,Sam Howell pass complete short left to Brian Robinson for 7 yards (tackle by Deommodore Lenoir),0.66,0.89,17.0,2023,252
2.0,7:27,3.0,2.0,WAS 40,10.0,3.0,Sam Howell pass complete deep right to Terry McLaurin for 42 yards (tackle by Deommodore Lenoir),0.89,4.37,17.0,2023,252
2.0,6:42,1.0,10.0,SFO 18,10.0,3.0,Brian Robinson left tackle for 4 yards (tackle by Fred Warner and Clelin Ferrell),4.37,4.43,17.0,2023,252
2.0,6:03,2.0,6.0,SFO 14,10.0,3.0,Brian Robinson left tackle for 8 yards (tackle by Javon Kinlaw and Logan Ryan),4.43,5.83,17.0,2023,252
2.0,5:18,1.0,6.0,SFO 6,10.0,3.0,Brian Robinson up the middle for 3 yards (tackle by Logan Ryan),5.83,5.53,17.0,2023,252
2.0,4:40,2.0,3.0,SFO 3,10.0,3.0,Sam Howell pass incomplete short right intended for Jahan Dotson,5.53,4.72,17.0,2023,252
2.0,4:37,3.0,3.0,SFO 3,10.0,9.0,"Sam Howell pass complete short left to Terry McLaurin for 3 yards, touchdown",4.72,7.0,17.0,2023,252
2.0,4:33,,,SFO 15,10.0,10.0,Joey Slye kicks extra point good,0.0,0.0,17.0,2023,252
2.0,4:33,,,WAS 35,10.0,10.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,252
2.0,4:33,1.0,10.0,SFO 25,10.0,10.0,Brock Purdy pass complete short right to George Kittle for 18 yards (tackle by Emmanuel Forbes),0.61,1.8,17.0,2023,252
2.0,4:00,1.0,10.0,SFO 43,10.0,10.0,Brock Purdy pass complete deep middle to Brandon Aiyuk for 22 yards (tackle by Kamren Curl and Christian Holmes),1.8,3.25,17.0,2023,252
2.0,3:18,1.0,10.0,WAS 35,10.0,10.0,Deebo Samuel left end for 8 yards (tackle by Khaleke Hudson),3.25,3.78,17.0,2023,252
2.0,2:35,2.0,2.0,WAS 27,10.0,10.0,Christian McCaffrey left tackle for 13 yards (tackle by Kamren Curl),3.78,4.65,17.0,2023,252
2.0,2:00,1.0,10.0,WAS 14,10.0,10.0,Brock Purdy pass complete short left to Deebo Samuel for 7 yards (tackle by Kamren Curl),4.65,5.28,17.0,2023,252
2.0,1:22,2.0,3.0,WAS 7,10.0,10.0,Christian McCaffrey right end for 6 yards (tackle by Kamren Curl),5.28,6.97,17.0,2023,252
2.0,0:41,1.0,1.0,WAS 1,10.0,10.0,Christian McCaffrey right end for -3 yards (tackle by Daron Payne),6.97,5.34,17.0,2023,252
2.0,0:35,,,,,,Timeout #1 by Washington Commanders,,,17.0,2023,252
2.0,0:35,2.0,4.0,WAS 4,10.0,10.0,Brock Purdy pass incomplete short right intended for Christian McCaffrey,5.34,4.49,17.0,2023,252
2.0,0:27,3.0,4.0,WAS 4,10.0,10.0,Brock Purdy pass incomplete short right intended for Brandon Aiyuk,4.49,3.03,17.0,2023,252
2.0,0:22,4.0,4.0,WAS 4,13.0,10.0,Jake Moody 22 yard field goal good,3.03,3.0,17.0,2023,252
2.0,0:19,,,SFO 35,13.0,10.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,252
2.0,0:19,1.0,10.0,WAS 25,13.0,10.0,Antonio Gibson up the middle for -1 yards (tackle by Nick Bosa and Oren Burks),0.61,-0.07,17.0,2023,252
3.0,15:00,,,SFO 35,13.0,10.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,252
3.0,15:00,1.0,10.0,WAS 25,13.0,10.0,Brian Robinson right guard for 1 yard (tackle by Fred Warner and Javon Hargrave),0.61,0.2,17.0,2023,252
3.0,14:21,2.0,9.0,WAS 26,13.0,10.0,Sam Howell pass complete short middle to Logan Thomas for 8 yards (tackle by Logan Ryan and Fred Warner),0.2,0.56,17.0,2023,252
3.0,13:41,3.0,1.0,WAS 34,13.0,10.0,Sam Howell sacked by Clelin Ferrell for -6 yards,0.56,-1.5,17.0,2023,252
3.0,13:09,4.0,7.0,WAS 28,13.0,10.0,Tress Way punts 55 yards downed by Dyami Brown,-1.5,0.06,17.0,2023,252
