Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST,home_team,team,week,year,game_id
Player,Pos,Num,Pct,Num,Pct,Num,Pct,,,,,
Dylan Parham,G,66,100%,0,0%,5,20%,1,Raiders,18.0,2023,268
Kolton Miller,T,66,100%,0,0%,5,20%,1,Raiders,18.0,2023,268
Andre James,C,66,100%,0,0%,0,0%,1,Raiders,18.0,2023,268
Jermaine Eluemunor,T,66,100%,0,0%,0,0%,1,Raiders,18.0,2023,268
Greg Van Roten,G,64,97%,0,0%,5,20%,1,Raiders,18.0,2023,268
Aidan O'Connell,QB,63,95%,0,0%,0,0%,1,Raiders,18.0,2023,268
Davante Adams,WR,62,94%,0,0%,0,0%,1,Raiders,18.0,2023,268
Jakobi Meyers,WR,58,88%,0,0%,0,0%,1,Raiders,18.0,2023,268
Austin Hooper,TE,57,86%,0,0%,0,0%,1,Raiders,18.0,2023,268
Zamir White,RB,48,73%,0,0%,4,16%,1,Raiders,18.0,2023,268
Tre Tucker,WR,42,64%,0,0%,6,24%,1,Raiders,18.0,2023,268
Ameer Abdullah,RB,18,27%,0,0%,13,52%,1,Raiders,18.0,2023,268
Zach Gentry,TE,18,27%,0,0%,0,0%,1,Raiders,18.0,2023,268
Jakob Johnson,FB,14,21%,0,0%,12,48%,1,Raiders,18.0,2023,268
Hunter Renfrow,WR,5,8%,0,0%,0,0%,1,Raiders,18.0,2023,268
DeAndre Carter,WR,4,6%,0,0%,14,56%,1,Raiders,18.0,2023,268
Jimmy Garoppolo,QB,3,5%,0,0%,0,0%,1,Raiders,18.0,2023,268
DJ Turner,WR,2,3%,0,0%,18,72%,1,Raiders,18.0,2023,268
Brandon Parker,T,2,3%,0,0%,5,20%,1,Raiders,18.0,2023,268
Jordan Meredith,G,2,3%,0,0%,5,20%,1,Raiders,18.0,2023,268
Marcus Epps,SS,0,0%,61,100%,0,0%,1,Raiders,18.0,2023,268
Robert Spillane,LB,0,0%,61,100%,0,0%,1,Raiders,18.0,2023,268
Tre'von Moehrig,FS,0,0%,61,100%,0,0%,1,Raiders,18.0,2023,268
Nate Hobbs,CB,0,0%,61,100%,0,0%,1,Raiders,18.0,2023,268
Maxx Crosby,DE,0,0%,61,100%,0,0%,1,Raiders,18.0,2023,268
Divine Deablo,LB,0,0%,59,97%,3,12%,1,Raiders,18.0,2023,268
Jack Jones,CB,0,0%,54,89%,0,0%,1,Raiders,18.0,2023,268
Amik Robertson,CB,0,0%,48,79%,4,16%,1,Raiders,18.0,2023,268
Malcolm Koonce,DE,0,0%,44,72%,6,24%,1,Raiders,18.0,2023,268
Adam Butler,DT,0,0%,30,49%,5,20%,1,Raiders,18.0,2023,268
Bilal Nichols,DT,0,0%,27,44%,2,8%,1,Raiders,18.0,2023,268
John Jenkins,DT,0,0%,26,43%,2,8%,1,Raiders,18.0,2023,268
Tyree Wilson,DE,0,0%,25,41%,2,8%,1,Raiders,18.0,2023,268
Jerry Tillery,DT,0,0%,22,36%,2,8%,1,Raiders,18.0,2023,268
Brandon Facyson,CB,0,0%,12,20%,5,20%,1,Raiders,18.0,2023,268
Matthew Butler,DT,0,0%,9,15%,5,20%,1,Raiders,18.0,2023,268
Isaiah Pola-Mao,FS,0,0%,5,8%,20,80%,1,Raiders,18.0,2023,268
Janarius Robinson,DE,0,0%,5,8%,2,8%,1,Raiders,18.0,2023,268
Brandon Bolden,RB,0,0%,0,0%,20,80%,1,Raiders,18.0,2023,268
Curtis Bolton,LB,0,0%,0,0%,20,80%,1,Raiders,18.0,2023,268
Luke Masterson,LB,0,0%,0,0%,20,80%,1,Raiders,18.0,2023,268
Christopher Smith,SS,0,0%,0,0%,14,56%,1,Raiders,18.0,2023,268
Amari Burney,LB,0,0%,0,0%,14,56%,1,Raiders,18.0,2023,268
Daniel Carlson,K,0,0%,0,0%,11,44%,1,Raiders,18.0,2023,268
Jacob Bobenmoyer,LS,0,0%,0,0%,9,36%,1,Raiders,18.0,2023,268
AJ Cole III,P,0,0%,0,0%,9,36%,1,Raiders,18.0,2023,268
Hroniss Grasu,C,0,0%,0,0%,5,20%,1,Raiders,18.0,2023,268
Jakorian Bennett,CB,0,0%,0,0%,3,12%,1,Raiders,18.0,2023,268
