Player,Pos,home_team,team,week,year,game_id
Mason Rudolph,QB,0,Steelers,18.0,2023,257
Najee Harris,RB,0,Steelers,18.0,2023,257
Allen Robinson,WR,0,Steelers,18.0,2023,257
George Pickens,WR,0,Steelers,18.0,2023,257
Diontae Johnson,WR,0,Steelers,18.0,2023,257
Connor Heyward,TE,0,Steelers,18.0,2023,257
James Daniels,OL,0,Steelers,18.0,2023,257
Broderick Jones,T,0,Steelers,18.0,2023,257
Dan Moore,T,0,Steelers,18.0,2023,257
Isaac Seumalo,G,0,Steelers,18.0,2023,257
Mason Cole,C,0,Steelers,18.0,2023,257
Larry Ogunjobi,DT,0,Steelers,18.0,2023,257
Cameron Heyward,DT,0,Steelers,18.0,2023,257
Alex Highsmith,LB,0,Steelers,18.0,2023,257
Elandon Roberts,LB,0,Steelers,18.0,2023,257
Mykal Walker,LB,0,Steelers,18.0,2023,257
T.J. Watt,LB,0,Steelers,18.0,2023,257
Patrick Peterson,CB,0,Steelers,18.0,2023,257
Joey Porter Jr.,CB,0,Steelers,18.0,2023,257
Chandon Sullivan,CB,0,Steelers,18.0,2023,257
Levi Wallace,CB,0,Steelers,18.0,2023,257
Eric Rowe,S,0,Steelers,18.0,2023,257
