Player,Tm,Rushing Att,Rushing Yds,Rushing TD,Rushing Lng,week,year,game_id
Jeff Driskel,CLE,7,33,0,13,18.0,2023,261
Pierre Strong,CLE,14,65,0,20,18.0,2023,261
Jerome Ford,CLE,3,6,0,4,18.0,2023,261
David Bell,CLE,0,0,0,0,18.0,2023,261
Cedric Tillman,CLE,0,0,0,0,18.0,2023,261
Jordan Akins,CLE,0,0,0,0,18.0,2023,261
Kareem Hunt,CLE,0,0,0,0,18.0,2023,261
James Proche,CLE,0,0,0,0,18.0,2023,261
Jake Browning,CIN,2,18,0,11,18.0,2023,261
A.J. McCarron,CIN,0,0,0,0,18.0,2023,261
Joe Mixon,CIN,14,111,1,44,18.0,2023,261
Chase Brown,CIN,11,43,0,27,18.0,2023,261
Charlie Jones,CIN,2,13,0,7,18.0,2023,261
Andrei Iosivas,CIN,0,0,0,0,18.0,2023,261
Trenton Irwin,CIN,0,0,0,0,18.0,2023,261
Ja'Marr Chase,CIN,0,0,0,0,18.0,2023,261
Tanner Hudson,CIN,0,0,0,0,18.0,2023,261
Drew Sample,CIN,0,0,0,0,18.0,2023,261
Tyler Boyd,CIN,0,0,0,0,18.0,2023,261
Trayveon Williams,CIN,1,-2,0,-2,18.0,2023,261
