Player,Pos,home_team,team,week,year,game_id
Jordan Love,QB,1,Packers,18.0,2023,265
Aaron Jones,RB,1,Packers,18.0,2023,265
Dontayvion Wicks,WR,1,Packers,18.0,2023,265
Romeo Doubs,WR,1,Packers,18.0,2023,265
Jayden Reed,WR,1,Packers,18.0,2023,265
Tucker Kraft,TE,1,Packers,18.0,2023,265
Zach Tom,OL,1,Packers,18.0,2023,265
Elgton Jenkins,OL,1,Packers,18.0,2023,265
Josh Myers,OL,1,Packers,18.0,2023,265
Rasheed Walker,T,1,Packers,18.0,2023,265
Jon Runyan Jr.,G,1,Packers,18.0,2023,265
Devonte Wyatt,DL,1,Packers,18.0,2023,265
Tedarrell Slaton,DL,1,Packers,18.0,2023,265
Kenny Clark,DL,1,Packers,18.0,2023,265
Preston Smith,LB,1,Packers,18.0,2023,265
Rashan Gary,LB,1,Packers,18.0,2023,265
Quay Walker,LB,1,Packers,18.0,2023,265
De'Vondre Campbell,LB,1,Packers,18.0,2023,265
Carrington Valentine,CB,1,Packers,18.0,2023,265
Jaire Alexander,CB,1,Packers,18.0,2023,265
Darnell Savage Jr.,S,1,Packers,18.0,2023,265
Jonathan Owens,S,1,Packers,18.0,2023,265
