#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,9:15,HOU 25,1,0:09,75,Touchdown,0,Texans,18.0,2023,258
2,1,7:23,HOU 24,6,3:52,18,Punt,0,Texans,18.0,2023,258
3,1,2:29,HOU 35,5,2:38,19,Punt,0,Texans,18.0,2023,258
4,2,11:11,HOU 30,6,3:20,15,Punt,0,Texans,18.0,2023,258
5,2,6:23,HOU 43,8,4:26,57,Touchdown,0,Texans,18.0,2023,258
6,2,0:35,HOU 25,3,0:28,-2,Punt,0,Texans,18.0,2023,258
7,3,15:00,HOU 25,4,3:14,18,Punt,0,Texans,18.0,2023,258
8,3,9:56,HOU 25,3,0:58,2,Punt,0,Texans,18.0,2023,258
9,3,5:37,HOU 47,5,1:58,20,Field Goal,0,Texans,18.0,2023,258
10,4,13:33,HOU 27,12,7:13,73,Touchdown,0,Texans,18.0,2023,258
11,4,1:03,HOU 15,4,1:02,-15,Safety,0,Texans,18.0,2023,258
