Player,Pos,home_team,team,week,year,game_id
Blaine Gabbert,QB,0,Chiefs,18.0,2023,269
La'Mical Perine,RB,0,Chiefs,18.0,2023,269
Justyn Ross,WR,0,Chiefs,18.0,2023,269
Mecole Hardman,WR,0,Chiefs,18.0,2023,269
Blake Bell,TE,0,Chiefs,18.0,2023,269
Noah Gray,TE,0,Chiefs,18.0,2023,269
Jawaan Taylor,T,0,Chiefs,18.0,2023,269
Joe Thuney,G,0,Chiefs,18.0,2023,269
Trey Smith,G,0,Chiefs,18.0,2023,269
Nick Allegretti,G,0,Chiefs,18.0,2023,269
Creed Humphrey,C,0,Chiefs,18.0,2023,269
Malik Herring,DE,0,Chiefs,18.0,2023,269
Charles Omenihu,DE,0,Chiefs,18.0,2023,269
Chris Jones,DT,0,Chiefs,18.0,2023,269
Derrick Nnadi,DT,0,Chiefs,18.0,2023,269
Cam Jones,LB,0,Chiefs,18.0,2023,269
Jack Cochrane,LB,0,Chiefs,18.0,2023,269
Leo Chenal,LB,0,Chiefs,18.0,2023,269
Jaylen Watson,CB,0,Chiefs,18.0,2023,269
Joshua Williams,CB,0,Chiefs,18.0,2023,269
Chamarri Conner,DB,0,Chiefs,18.0,2023,269
Mike Edwards,S,0,Chiefs,18.0,2023,269
