Player,Tm,Rushing Att,Rushing Yds,Rushing TD,Rushing Lng,week,year,game_id
Josh Allen,BUF,15,67,0,15,18.0,2023,272
James Cook,BUF,13,36,0,14,18.0,2023,272
Leonard Fournette,BUF,7,20,0,5,18.0,2023,272
Ty Johnson,BUF,1,5,0,5,18.0,2023,272
Khalil Shakir,BUF,0,0,0,0,18.0,2023,272
Stefon Diggs,BUF,0,0,0,0,18.0,2023,272
Dalton Kincaid,BUF,0,0,0,0,18.0,2023,272
Trent Sherfield,BUF,0,0,0,0,18.0,2023,272
Dawson Knox,BUF,0,0,0,0,18.0,2023,272
Deonte Harty,BUF,0,0,0,0,18.0,2023,272
Gabriel Davis,BUF,0,0,0,0,18.0,2023,272
Tua Tagovailoa,MIA,1,7,0,7,18.0,2023,272
De'Von Achane,MIA,10,56,1,25,18.0,2023,272
Jeff Wilson,MIA,9,45,0,13,18.0,2023,272
Tyreek Hill,MIA,0,0,0,0,18.0,2023,272
Durham Smythe,MIA,0,0,0,0,18.0,2023,272
Cedrick Wilson Jr.,MIA,0,0,0,0,18.0,2023,272
River Cracraft,MIA,0,0,0,0,18.0,2023,272
Braxton Berrios,MIA,0,0,0,0,18.0,2023,272
Chase Claypool,MIA,0,0,0,0,18.0,2023,272
Julian Hill,MIA,0,0,0,0,18.0,2023,272
