Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,week,year,game_id
Tyler Conklin,NYJ,3,2,16,0,,6,3.0,10,5.0,3.0,0,,0,0.0,0,79.9,18.0,2023,264
Breece Hall,NYJ,2,2,12,0,1.0,-4,-2.0,16,8.0,-2.0,0,,0,0.0,0,91.7,18.0,2023,264
Garrett Wilson,NYJ,5,2,34,0,2.0,18,9.0,16,8.0,11.6,0,,1,20.0,0,63.7,18.0,2023,264
Randall Cobb,NYJ,1,1,4,0,,1,1.0,3,3.0,1.0,0,,0,0.0,0,83.3,18.0,2023,264
Xavier Gipson,NYJ,5,1,4,0,,-1,-1.0,5,5.0,12.4,0,,0,0.0,0,39.6,18.0,2023,264
Jason Brownlee,NYJ,1,0,0,0,,0,,0,,19.0,0,,0,0.0,0,39.6,18.0,2023,264
Irvin Charles,NYJ,1,0,0,0,,0,,0,,9.0,0,,0,0.0,0,39.6,18.0,2023,264
Ezekiel Elliott,NWE,7,5,27,0,1.0,-4,-0.8,31,6.2,0.7,0,,0,0.0,0,77.7,18.0,2023,264
Demario Douglas,NWE,6,2,13,0,1.0,3,1.5,10,5.0,7.3,0,,0,0.0,1,2.8,18.0,2023,264
Pharaoh Brown,NWE,3,1,0,0,,0,0.0,0,0.0,5.7,0,,0,0.0,0,42.4,18.0,2023,264
Mike Gesicki,NWE,3,1,5,0,,2,2.0,3,3.0,10.3,0,,0,0.0,0,42.4,18.0,2023,264
Kevin Harris,NWE,1,1,4,0,,0,0.0,4,4.0,0.0,0,,0,0.0,0,83.3,18.0,2023,264
DeVante Parker,NWE,4,1,6,0,,4,4.0,2,2.0,19.3,0,,0,0.0,0,39.6,18.0,2023,264
Jalen Reagor,NWE,5,1,33,0,1.0,31,31.0,2,2.0,24.2,0,,0,0.0,1,15.0,18.0,2023,264
