Player,Tm,Def Interceptions Int,Def Interceptions Yds,Def Interceptions TD,Def Interceptions Lng,Def Interceptions PD,Sk,Tackles Comb,Tackles Solo,Tackles Ast,Tackles TFL,Tackles QBHits,Fumbles FR,Fumbles Yds,Fumbles TD,Fumbles FF,week,year,game_id
Andre Cisco,JAX,1,29,0,29,1,0.0,2,1,1,0,0,0,0,0,0,18.0,2023,263
Josh Hines-Allen,JAX,0,0,0,0,0,1.0,5,2,3,1,2,0,0,0,0,18.0,2023,263
Travon Walker,JAX,0,0,0,0,0,1.0,2,1,1,1,2,0,0,0,0,18.0,2023,263
Tyson Campbell,JAX,0,0,0,0,0,0.0,7,5,2,0,0,0,0,0,0,18.0,2023,263
Rayshawn Jenkins,JAX,0,0,0,0,0,0.0,7,7,0,2,0,0,0,0,0,18.0,2023,263
Foyesade Oluokun,JAX,0,0,0,0,0,0.0,7,3,4,0,0,0,0,0,0,18.0,2023,263
Devin Lloyd,JAX,0,0,0,0,0,0.0,6,4,2,0,1,0,0,0,0,18.0,2023,263
DaVon Hamilton,JAX,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0,18.0,2023,263
Antonio Johnson,JAX,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,18.0,2023,263
Roy Robertson-Harris,JAX,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,18.0,2023,263
Darious Williams,JAX,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,18.0,2023,263
Adam Gotsis,JAX,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,18.0,2023,263
Jeremiah Ledbetter,JAX,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,18.0,2023,263
Brenton Strange,JAX,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0,18.0,2023,263
Tre Herndon,JAX,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,18.0,2023,263
Tyler Lacy,JAX,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,18.0,2023,263
Dawuane Smoot,JAX,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,18.0,2023,263
Sean Murphy-Bunting,TEN,1,2,0,2,1,0.0,8,7,1,1,0,0,0,0,0,18.0,2023,263
Terrell Edmunds,TEN,1,2,0,2,1,0.0,5,3,2,0,0,0,0,0,0,18.0,2023,263
Azeez Al-Shaair,TEN,0,0,0,0,0,0.0,10,7,3,1,0,0,0,0,0,18.0,2023,263
Roger McCreary,TEN,0,0,0,0,1,0.0,9,6,3,0,0,0,0,0,0,18.0,2023,263
Elijah Molden,TEN,0,0,0,0,1,0.0,6,3,3,0,0,0,0,0,0,18.0,2023,263
Otis Reese,TEN,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0,18.0,2023,263
K'Von Wallace,TEN,0,0,0,0,0,0.0,6,3,3,0,1,0,0,0,0,18.0,2023,263
Arden Key,TEN,0,0,0,0,1,0.0,4,4,0,0,1,0,0,0,0,18.0,2023,263
Marlon Davidson,TEN,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0,18.0,2023,263
Garret Wallow,TEN,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0,18.0,2023,263
Eric Garror,TEN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,18.0,2023,263
Jaleel Johnson,TEN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,18.0,2023,263
Denico Autry,TEN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,18.0,2023,263
Ross Blacklock,TEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,18.0,2023,263
Quinton Bohanna,TEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,18.0,2023,263
Keondre Coburn,TEN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,18.0,2023,263
JoJo Domann,TEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,18.0,2023,263
Matthew Jackson,TEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,18.0,2023,263
Ty Zentner,TEN,0,0,0,0,0,0.0,0,0,0,0,0,1,-6,0,0,18.0,2023,263
