Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,week,year,game_id
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,,,
Patrick Mahomes,KAN,29,41,305,2,1,1,7,54,98.1,2.0,2023,24
Isiah Pacheco,KAN,0,0,0,0,0,0,0,0,,2.0,2023,24
Kadarius Toney,KAN,0,0,0,0,0,0,0,0,,2.0,2023,24
Skyy Moore,KAN,0,0,0,0,0,0,0,0,,2.0,2023,24
Justin Watson,KAN,0,0,0,0,0,0,0,0,,2.0,2023,24
Noah Gray,KAN,0,0,0,0,0,0,0,0,,2.0,2023,24
Travis Kelce,KAN,0,0,0,0,0,0,0,0,,2.0,2023,24
Rashee Rice,KAN,0,0,0,0,0,0,0,0,,2.0,2023,24
Clyde Edwards-Helaire,KAN,0,0,0,0,0,0,0,0,,2.0,2023,24
Marquez Valdes-Scantling,KAN,0,0,0,0,0,0,0,0,,2.0,2023,24
Richie James,KAN,0,0,0,0,0,0,0,0,,2.0,2023,24
Donovan Smith,KAN,0,0,0,0,0,0,0,0,,2.0,2023,24
Jerick McKinnon,KAN,0,0,0,0,0,0,0,0,,2.0,2023,24
Trevor Lawrence,JAX,22,41,216,0,0,4,18,45,68.7,2.0,2023,24
Christian Kirk,JAX,1,1,-1,0,0,0,0,-1,79.2,2.0,2023,24
Travis Etienne,JAX,0,0,0,0,0,0,0,0,,2.0,2023,24
D'Ernest Johnson,JAX,0,0,0,0,0,0,0,0,,2.0,2023,24
Evan Engram,JAX,0,0,0,0,0,0,0,0,,2.0,2023,24
Calvin Ridley,JAX,0,0,0,0,0,0,0,0,,2.0,2023,24
Jamal Agnew,JAX,0,0,0,0,0,0,0,0,,2.0,2023,24
Zay Jones,JAX,0,0,0,0,0,0,0,0,,2.0,2023,24
