Player,Pos,home_team,team,week,year,game_id
Desmond Ridder,QB,1,Falcons,2.0,2023,18
Tyler Allgeier,RB,1,Falcons,2.0,2023,18
Bijan Robinson,RB,1,Falcons,2.0,2023,18
Mack Hollins,WR,1,Falcons,2.0,2023,18
Drake London,WR,1,Falcons,2.0,2023,18
Kyle Pitts,TE,1,Falcons,2.0,2023,18
Drew Dalman,OL,1,Falcons,2.0,2023,18
Matthew Bergeron,OL,1,Falcons,2.0,2023,18
Jake Matthews,T,1,Falcons,2.0,2023,18
Kaleb McGary,T,1,Falcons,2.0,2023,18
Chris Lindstrom,G,1,Falcons,2.0,2023,18
Calais Campbell,DL,1,Falcons,2.0,2023,18
Grady Jarrett,DL,1,Falcons,2.0,2023,18
David Onyemata,DL,1,Falcons,2.0,2023,18
Bud Dupree,OLB,1,Falcons,2.0,2023,18
Arnold Ebiketie,OLB,1,Falcons,2.0,2023,18
Kaden Elliss,LB,1,Falcons,2.0,2023,18
Nathan Landman,LB,1,Falcons,2.0,2023,18
AJ Terrell,CB,1,Falcons,2.0,2023,18
Tre Flowers,CB,1,Falcons,2.0,2023,18
Richie Grant,S,1,Falcons,2.0,2023,18
Jessie Bates III,S,1,Falcons,2.0,2023,18
