Quarter,Time,Tm,Detail,WAS,DEN,week,year,game_id
1.0,6:14,Broncos,Jaleel McLaughlin 5 yard rush (Wil Lutz kick),0,7,2.0,2023,29
,0:24,Commanders,Joey Slye 44 yard field goal,3,7,2.0,2023,29
,0:12,Broncos,Marvin Mims 60 yard pass from Russell Wilson (Wil Lutz kick),3,14,2.0,2023,29
2.0,9:01,Broncos,Brandon Johnson 16 yard pass from Russell Wilson (Wil Lutz kick),3,21,2.0,2023,29
,1:47,Commanders,Logan Thomas 4 yard pass from Sam Howell (Brian Robinson Jr. run),11,21,2.0,2023,29
,0:00,Commanders,Joey Slye 49 yard field goal,14,21,2.0,2023,29
3.0,11:47,Commanders,Terry McLaurin 30 yard pass from Sam Howell (Joey Slye kick),21,21,2.0,2023,29
,2:11,Broncos,Wil Lutz 31 yard field goal,21,24,2.0,2023,29
4.0,13:25,Commanders,Brian Robinson Jr. 2 yard rush (Joey Slye kick),28,24,2.0,2023,29
,7:11,Commanders,Brian Robinson Jr. 15 yard rush (Joey Slye kick),35,24,2.0,2023,29
,1:50,Broncos,Wil Lutz 32 yard field goal,35,27,2.0,2023,29
,0:00,Broncos,Brandon Johnson 50 yard pass from Russell Wilson (pass failed),35,33,2.0,2023,29
