Unnamed: 0_level_0,Unnamed: 1_level_0,Rushing,Rushing,Rushing,Rushing,week,year,game_id
Player,Tm,Att,Yds,TD,Lng,,,
Matthew Stafford,LAR,1,7,0,7,3.0,2023,48
Kyren Williams,LAR,10,38,0,9,3.0,2023,48
Tutu Atwell,LAR,1,22,0,22,3.0,2023,48
Van Jefferson,LAR,1,4,0,4,3.0,2023,48
Puka Nacua,LAR,0,0,0,0,3.0,2023,48
Tyler Higbee,LAR,0,0,0,0,3.0,2023,48
Ben Skowronek,LAR,0,0,0,0,3.0,2023,48
Joe Burrow,CIN,3,-2,0,0,3.0,2023,48
Joe Mixon,CIN,19,65,1,14,3.0,2023,48
Trayveon Williams,CIN,1,4,0,4,3.0,2023,48
Ja'Marr Chase,CIN,0,0,0,0,3.0,2023,48
Tyler Boyd,CIN,0,0,0,0,3.0,2023,48
Tanner Hudson,CIN,0,0,0,0,3.0,2023,48
Tee Higgins,CIN,0,0,0,0,3.0,2023,48
Mitchell Wilcox,CIN,0,0,0,0,3.0,2023,48
Drew Sample,CIN,0,0,0,0,3.0,2023,48
Charlie Jones,CIN,0,0,0,0,3.0,2023,48
