Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Tony Pollard,DAL,23,122,0,8.0,56,2.4,66,2.9,1,23.0,3.0,2023,45
Rico Dowdle,DAL,4,21,0,1.0,10,2.5,11,2.8,0,,3.0,2023,45
Dak Prescott,DAL,3,24,0,2.0,22,7.3,2,0.7,1,3.0,3.0,2023,45
CeeDee Lamb,DAL,2,9,0,0.0,8,4.0,1,0.5,1,2.0,3.0,2023,45
Hunter Luepke,DAL,1,9,0,1.0,5,5.0,4,4.0,0,,3.0,2023,45
James Conner,ARI,14,98,1,4.0,71,5.1,27,1.9,0,,3.0,2023,45
Joshua Dobbs,ARI,6,55,0,3.0,30,5.0,25,4.2,0,,3.0,2023,45
Keaontay Ingram,ARI,5,13,0,,9,1.8,4,0.8,0,,3.0,2023,45
Rondale Moore,ARI,3,54,1,1.0,51,17.0,3,1.0,0,,3.0,2023,45
Emari Demercado,ARI,2,2,0,,1,0.5,1,0.5,0,,3.0,2023,45
