Player,Pos,home_team,team,week,year,game_id
Deshaun Watson,QB,1,Browns,3.0,2023,36
Jerome Ford,RB,1,Browns,3.0,2023,36
Amari Cooper,WR,1,Browns,3.0,2023,36
Donovan Peoples-Jones,WR,1,Browns,3.0,2023,36
Harrison Bryant,TE,1,Browns,3.0,2023,36
David Njoku,TE,1,Browns,3.0,2023,36
Dawand Jones,T,1,Browns,3.0,2023,36
Jedrick Wills Jr.,T,1,Browns,3.0,2023,36
Wyatt Teller,G,1,Browns,3.0,2023,36
Joel Bitonio,G,1,Browns,3.0,2023,36
Ethan Pocic,C,1,Browns,3.0,2023,36
Myles Garrett,DE,1,Browns,3.0,2023,36
Za'Darius Smith,DE,1,Browns,3.0,2023,36
Jordan Elliott,DT,1,Browns,3.0,2023,36
Dalvin Tomlinson,DT,1,Browns,3.0,2023,36
Jeremiah Owusu-Koramoah,LB,1,Browns,3.0,2023,36
Sione Takitaki,LB,1,Browns,3.0,2023,36
Anthony Walker,LB,1,Browns,3.0,2023,36
Martin Emerson,CB,1,Browns,3.0,2023,36
Denzel Ward,CB,1,Browns,3.0,2023,36
Grant Delpit,S,1,Browns,3.0,2023,36
Juan Thornhill,S,1,Browns,3.0,2023,36
