Player,Tm,Rushing Att,Rushing Yds,Rushing TD,Rushing Lng,week,year,game_id
C.J. Stroud,HOU,3,14,0,11,3.0,2023,40
Devin Singletary,HOU,9,41,0,14,3.0,2023,40
Dameon Pierce,HOU,14,31,1,10,3.0,2023,40
Tank Dell,HOU,0,0,0,0,3.0,2023,40
Robert Woods,HOU,0,0,0,0,3.0,2023,40
Nico Collins,HOU,0,0,0,0,3.0,2023,40
John Metchie,HOU,0,0,0,0,3.0,2023,40
Brevin Jordan,HOU,0,0,0,0,3.0,2023,40
Dalton Schultz,HOU,0,0,0,0,3.0,2023,40
Teagan Quitoriano,HOU,0,0,0,0,3.0,2023,40
Trevor Lawrence,JAX,3,12,0,8,3.0,2023,40
C.J. Beathard,JAX,0,0,0,0,3.0,2023,40
Travis Etienne,JAX,19,88,0,16,3.0,2023,40
Tank Bigsby,JAX,2,10,1,9,3.0,2023,40
D'Ernest Johnson,JAX,3,6,0,3,3.0,2023,40
Evan Engram,JAX,0,0,0,0,3.0,2023,40
Christian Kirk,JAX,0,0,0,0,3.0,2023,40
Jamal Agnew,JAX,0,0,0,0,3.0,2023,40
Calvin Ridley,JAX,0,0,0,0,3.0,2023,40
Tim Jones,JAX,0,0,0,0,3.0,2023,40
Brenton Strange,JAX,0,0,0,0,3.0,2023,40
Luke Farrell,JAX,0,0,0,0,3.0,2023,40
