Player,Pos,home_team,team,week,year,game_id
Justin Fields,QB,0,Bears,3.0,2023,44
Khalil Herbert,RB,0,Bears,3.0,2023,44
Chase Claypool,WR,0,Bears,3.0,2023,44
D.J. Moore,WR,0,Bears,3.0,2023,44
Darnell Mooney,WR,0,Bears,3.0,2023,44
Cole Kmet,TE,0,Bears,3.0,2023,44
Larry Borom,OL,0,Bears,3.0,2023,44
Darnell Wright,OL,0,Bears,3.0,2023,44
Cody Whitehair,OL,0,Bears,3.0,2023,44
Lucas Patrick,OL,0,Bears,3.0,2023,44
Ja'Tyre Carter,OL,0,Bears,3.0,2023,44
Justin Jones,DL,0,Bears,3.0,2023,44
Yannick Ngakoue,DL,0,Bears,3.0,2023,44
DeMarcus Walker,DL,0,Bears,3.0,2023,44
Andrew Billings,DL,0,Bears,3.0,2023,44
T.J. Edwards,LB,0,Bears,3.0,2023,44
Tremaine Edmunds,LB,0,Bears,3.0,2023,44
Jack Sanborn,LB,0,Bears,3.0,2023,44
Jaylon Johnson,DB,0,Bears,3.0,2023,44
Elijah Hicks,DB,0,Bears,3.0,2023,44
Tyrique Stevenson,DB,0,Bears,3.0,2023,44
Jaquan Brisker,DB,0,Bears,3.0,2023,44
