Player,Pos,Off. Num,Off. Pct,Def. Num,Def. Pct,ST Num,ST Pct,home_team,team,week,year,game_id
John Michael Schmitz,C,50,100%,0,0%,2,7%,0,Giants,3.0,2023,33
Marcus McKethan,T,50,100%,0,0%,2,7%,0,Giants,3.0,2023,33
Shane Lemieux,G,50,100%,0,0%,2,7%,0,Giants,3.0,2023,33
Joshua Ezeudu,G,50,100%,0,0%,2,7%,0,Giants,3.0,2023,33
Evan Neal,T,47,94%,0,0%,2,7%,0,Giants,3.0,2023,33
Daniel Jones,QB,47,94%,0,0%,0,0%,0,Giants,3.0,2023,33
Darius Slayton,WR,42,84%,0,0%,0,0%,0,Giants,3.0,2023,33
Darren Waller,TE,41,82%,0,0%,0,0%,0,Giants,3.0,2023,33
Matt Breida,RB,41,82%,0,0%,0,0%,0,Giants,3.0,2023,33
Isaiah Hodgins,WR,33,66%,0,0%,0,0%,0,Giants,3.0,2023,33
Daniel Bellinger,TE,30,60%,0,0%,15,54%,0,Giants,3.0,2023,33
Parris Campbell,WR,21,42%,0,0%,0,0%,0,Giants,3.0,2023,33
Jalin Hyatt,WR,16,32%,0,0%,0,0%,0,Giants,3.0,2023,33
Wan'Dale Robinson,WR,11,22%,0,0%,0,0%,0,Giants,3.0,2023,33
Gary Brightwell,RB,9,18%,0,0%,16,57%,0,Giants,3.0,2023,33
Matt Peart,T,6,12%,0,0%,2,7%,0,Giants,3.0,2023,33
Tyrod Taylor,QB,3,6%,0,0%,0,0%,0,Giants,3.0,2023,33
Sterling Shepard,WR,2,4%,0,0%,0,0%,0,Giants,3.0,2023,33
Jason Pinnock,SS,0,0%,83,100%,9,32%,0,Giants,3.0,2023,33
Xavier McKinney,FS,0,0%,83,100%,7,25%,0,Giants,3.0,2023,33
Bobby Okereke,LB,0,0%,83,100%,0,0%,0,Giants,3.0,2023,33
Adoree' Jackson,CB,0,0%,80,96%,0,0%,0,Giants,3.0,2023,33
Kayvon Thibodeaux,LB,0,0%,72,87%,0,0%,0,Giants,3.0,2023,33
Leonard Williams,DT,0,0%,62,75%,7,25%,0,Giants,3.0,2023,33
Dexter Lawrence,NT,0,0%,61,73%,3,11%,0,Giants,3.0,2023,33
Micah McFadden,LB,0,0%,60,72%,18,64%,0,Giants,3.0,2023,33
Tre Hawkins,CB,0,0%,56,67%,0,0%,0,Giants,3.0,2023,33
Jihad Ward,DE,0,0%,50,60%,6,21%,0,Giants,3.0,2023,33
A'Shawn Robinson,DT,0,0%,45,54%,6,21%,0,Giants,3.0,2023,33
Deonte Banks,CB,0,0%,43,52%,4,14%,0,Giants,3.0,2023,33
Rakeem Nunez-Roches,NT,0,0%,34,41%,7,25%,0,Giants,3.0,2023,33
Oshane Ximines,LB,0,0%,25,30%,18,64%,0,Giants,3.0,2023,33
Isaiah Simmons,LB,0,0%,23,28%,13,46%,0,Giants,3.0,2023,33
D.J. Davidson,DT,0,0%,19,23%,6,21%,0,Giants,3.0,2023,33
Boogie Basham,LB,0,0%,18,22%,7,25%,0,Giants,3.0,2023,33
Darnay Holmes,CB,0,0%,15,18%,11,39%,0,Giants,3.0,2023,33
Dane Belton,SS,0,0%,1,1%,19,68%,0,Giants,3.0,2023,33
Nick McCloud,CB,0,0%,0,0%,26,93%,0,Giants,3.0,2023,33
Carter Coughlin,LB,0,0%,0,0%,26,93%,0,Giants,3.0,2023,33
Cam Brown,LB,0,0%,0,0%,20,71%,0,Giants,3.0,2023,33
Bobby McCain,SS,0,0%,0,0%,13,46%,0,Giants,3.0,2023,33
Eric Gray,RB,0,0%,0,0%,10,36%,0,Giants,3.0,2023,33
Casey Kreiter,LS,0,0%,0,0%,8,29%,0,Giants,3.0,2023,33
Jamie Gillan,P,0,0%,0,0%,8,29%,0,Giants,3.0,2023,33
Lawrence Cager,TE,0,0%,0,0%,7,25%,0,Giants,3.0,2023,33
Graham Gano,K,0,0%,0,0%,6,21%,0,Giants,3.0,2023,33
