Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Matt Breida,NYG,4,17,1,1.0,12,3.0,5,1.3,1,4.0,3.0,2023,33
Gary Brightwell,NYG,4,5,0,0.0,0,0.0,5,1.3,1,4.0,3.0,2023,33
Daniel Jones,NYG,2,5,0,1.0,4,2.0,1,0.5,0,,3.0,2023,33
Tyrod Taylor,NYG,1,2,0,,2,2.0,0,0.0,0,,3.0,2023,33
Christian McCaffrey,SFO,18,85,1,4.0,54,3.0,31,1.7,3,6.0,3.0,2023,33
Elijah Mitchell,SFO,11,42,0,2.0,17,1.5,25,2.3,2,5.5,3.0,2023,33
Brock Purdy,SFO,4,-1,0,1.0,-2,-0.5,1,0.3,0,,3.0,2023,33
Jordan Mason,SFO,3,11,0,1.0,5,1.7,6,2.0,0,,3.0,2023,33
Sam Darnold,SFO,1,-1,0,,-1,-1.0,0,0.0,0,,3.0,2023,33
Kyle Juszczyk,SFO,1,3,0,1.0,1,1.0,2,2.0,0,,3.0,2023,33
Deebo Samuel,SFO,1,2,0,0.0,2,2.0,0,0.0,0,,3.0,2023,33
