Player,Pos,home_team,team,week,year,game_id
Geno Smith,QB,1,Seahawks,3.0,2023,43
Kenneth Walker III,RB,1,Seahawks,3.0,2023,43
Tyler Lockett,WR,1,Seahawks,3.0,2023,43
D.K. Metcalf,WR,1,Seahawks,3.0,2023,43
Noah Fant,TE,1,Seahawks,3.0,2023,43
Colby Parkinson,TE,1,Seahawks,3.0,2023,43
Jake Curhan,T,1,Seahawks,3.0,2023,43
Stone Forsythe,T,1,Seahawks,3.0,2023,43
Anthony Bradford,G,1,Seahawks,3.0,2023,43
Damien Lewis,G,1,Seahawks,3.0,2023,43
Evan Brown,C,1,Seahawks,3.0,2023,43
Dre'Mont Jones,DE,1,Seahawks,3.0,2023,43
Jarran Reed,DE,1,Seahawks,3.0,2023,43
Jordyn Brooks,LB,1,Seahawks,3.0,2023,43
Bobby Wagner,LB,1,Seahawks,3.0,2023,43
Uchenna Nwosu,LB,1,Seahawks,3.0,2023,43
Boye Mafe,LB,1,Seahawks,3.0,2023,43
Devin Bush Jr.,LB,1,Seahawks,3.0,2023,43
Tre Brown,CB,1,Seahawks,3.0,2023,43
Devon Witherspoon,CB,1,Seahawks,3.0,2023,43
Quandre Diggs,FS,1,Seahawks,3.0,2023,43
Julian Love,S,1,Seahawks,3.0,2023,43
