Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST,home_team,team,week,year,game_id
Player,Pos,Num,Pct,Num,Pct,Num,Pct,,,,,
Andre Dillard,T,60,100%,0,0%,4,18%,0,Titans,5.0,2023,69
Chris Hubbard,T,60,100%,0,0%,4,18%,0,Titans,5.0,2023,69
Peter Skoronski,T,60,100%,0,0%,4,18%,0,Titans,5.0,2023,69
Daniel Brunskill,C,60,100%,0,0%,4,18%,0,Titans,5.0,2023,69
Aaron Brewer,G,60,100%,0,0%,0,0%,0,Titans,5.0,2023,69
Ryan Tannehill,QB,60,100%,0,0%,0,0%,0,Titans,5.0,2023,69
DeAndre Hopkins,WR,50,83%,0,0%,0,0%,0,Titans,5.0,2023,69
Nick Westbrook-Ikhine,WR,42,70%,0,0%,0,0%,0,Titans,5.0,2023,69
Chris Moore,WR,37,62%,0,0%,1,5%,0,Titans,5.0,2023,69
Derrick Henry,RB,37,62%,0,0%,0,0%,0,Titans,5.0,2023,69
Chigoziem Okonkwo,TE,35,58%,0,0%,1,5%,0,Titans,5.0,2023,69
Tyjae Spears,RB,31,52%,0,0%,5,23%,0,Titans,5.0,2023,69
Trevon Wesco,TE,28,47%,0,0%,10,45%,0,Titans,5.0,2023,69
Josh Whyle,TE,22,37%,0,0%,6,27%,0,Titans,5.0,2023,69
Kyle Philips,WR,13,22%,0,0%,1,5%,0,Titans,5.0,2023,69
Kevin Rader,TE,5,8%,0,0%,13,59%,0,Titans,5.0,2023,69
Amani Hooker,FS,0,0%,66,100%,6,27%,0,Titans,5.0,2023,69
Sean Murphy-Bunting,CB,0,0%,66,100%,5,23%,0,Titans,5.0,2023,69
Kevin Byard,FS,0,0%,66,100%,5,23%,0,Titans,5.0,2023,69
Azeez Al-Shaair,LB,0,0%,66,100%,4,18%,0,Titans,5.0,2023,69
Kristian Fulton,CB,0,0%,63,95%,4,18%,0,Titans,5.0,2023,69
Jeffery Simmons,DT,0,0%,62,94%,4,18%,0,Titans,5.0,2023,69
Roger McCreary,CB,0,0%,62,94%,4,18%,0,Titans,5.0,2023,69
Jack Gibbens,LB,0,0%,52,79%,12,55%,0,Titans,5.0,2023,69
Denico Autry,DE,0,0%,46,70%,4,18%,0,Titans,5.0,2023,69
Harold Landry,LB,0,0%,45,68%,2,9%,0,Titans,5.0,2023,69
Arden Key,LB,0,0%,37,56%,4,18%,0,Titans,5.0,2023,69
Kyle Peko,DT,0,0%,32,48%,5,23%,0,Titans,5.0,2023,69
Naquan Jones,DT,0,0%,21,32%,1,5%,0,Titans,5.0,2023,69
Jaleel Johnson,DT,0,0%,14,21%,2,9%,0,Titans,5.0,2023,69
Elijah Molden,CB,0,0%,10,15%,4,18%,0,Titans,5.0,2023,69
Rashad Weaver,LB,0,0%,9,14%,8,36%,0,Titans,5.0,2023,69
Trevis Gipson,LB,0,0%,9,14%,5,23%,0,Titans,5.0,2023,69
Monty Rice,LB,0,0%,0,0%,14,64%,0,Titans,5.0,2023,69
Anthony Kendall,CB,0,0%,0,0%,13,59%,0,Titans,5.0,2023,69
Chance Campbell,LB,0,0%,0,0%,13,59%,0,Titans,5.0,2023,69
Dane Cruikshank,SS,0,0%,0,0%,13,59%,0,Titans,5.0,2023,69
Matthew Jackson,SS,0,0%,0,0%,12,55%,0,Titans,5.0,2023,69
Nick Folk,K,0,0%,0,0%,9,41%,0,Titans,5.0,2023,69
Colton Dowell,WR,0,0%,0,0%,7,32%,0,Titans,5.0,2023,69
Tre Avery,CB,0,0%,0,0%,6,27%,0,Titans,5.0,2023,69
Ryan Stonehouse,P,0,0%,0,0%,5,23%,0,Titans,5.0,2023,69
Morgan Cox,LS,0,0%,0,0%,5,23%,0,Titans,5.0,2023,69
Dillon Radunz,T,0,0%,0,0%,4,18%,0,Titans,5.0,2023,69
Justin Murray,T,0,0%,0,0%,4,18%,0,Titans,5.0,2023,69
Corey Levin,C,0,0%,0,0%,4,18%,0,Titans,5.0,2023,69
Kindle Vildor,CB,0,0%,0,0%,1,5%,0,Titans,5.0,2023,69
