Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,week,year,game_id
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,,,
Patrick Mahomes,KAN,31,41,281,2,0,2,15,33,109.9,5.0,2023,76
Isiah Pacheco,KAN,0,0,0,0,0,0,0,0,,5.0,2023,76
Jerick McKinnon,KAN,0,0,0,0,0,0,0,0,,5.0,2023,76
Clyde Edwards-Helaire,KAN,0,0,0,0,0,0,0,0,,5.0,2023,76
Kadarius Toney,KAN,0,0,0,0,0,0,0,0,,5.0,2023,76
Travis Kelce,KAN,0,0,0,0,0,0,0,0,,5.0,2023,76
Justin Watson,KAN,0,0,0,0,0,0,0,0,,5.0,2023,76
Rashee Rice,KAN,0,0,0,0,0,0,0,0,,5.0,2023,76
Justyn Ross,KAN,0,0,0,0,0,0,0,0,,5.0,2023,76
Noah Gray,KAN,0,0,0,0,0,0,0,0,,5.0,2023,76
Marquez Valdes-Scantling,KAN,0,0,0,0,0,0,0,0,,5.0,2023,76
Skyy Moore,KAN,0,0,0,0,0,0,0,0,,5.0,2023,76
Kirk Cousins,MIN,29,47,284,2,0,3,25,27,92.9,5.0,2023,76
Alexander Mattison,MIN,0,0,0,0,0,0,0,0,,5.0,2023,76
Cam Akers,MIN,0,0,0,0,0,0,0,0,,5.0,2023,76
Ty Chandler,MIN,0,0,0,0,0,0,0,0,,5.0,2023,76
Brandon Powell,MIN,0,0,0,0,0,0,0,0,,5.0,2023,76
Jordan Addison,MIN,0,0,0,0,0,0,0,0,,5.0,2023,76
T.J. Hockenson,MIN,0,0,0,0,0,0,0,0,,5.0,2023,76
K.J. Osborn,MIN,0,0,0,0,0,0,0,0,,5.0,2023,76
Justin Jefferson,MIN,0,0,0,0,0,0,0,0,,5.0,2023,76
Josh Oliver,MIN,0,0,0,0,0,0,0,0,,5.0,2023,76
Johnny Mundt,MIN,0,0,0,0,0,0,0,0,,5.0,2023,76
