Player,Pos,home_team,team,week,year,game_id
Zach Wilson,QB,0,Jets,5.0,2023,75
Breece Hall,RB,0,Jets,5.0,2023,75
Nick Bawden,FB,0,Jets,5.0,2023,75
Garrett Wilson,WR,0,Jets,5.0,2023,75
Allen Lazard,WR,0,Jets,5.0,2023,75
Tyler Conklin,TE,0,Jets,5.0,2023,75
Mekhi Becton,T,0,Jets,5.0,2023,75
Alijah Vera-Tucker,G,0,Jets,5.0,2023,75
Laken Tomlinson,G,0,Jets,5.0,2023,75
Connor McGovern,C,0,Jets,5.0,2023,75
Joe Tippmann,C,0,Jets,5.0,2023,75
Quinton Jefferson,DL,0,Jets,5.0,2023,75
Quinnen Williams,DL,0,Jets,5.0,2023,75
John Franklin-Myers,DL,0,Jets,5.0,2023,75
Jermaine Johnson II,LB,0,Jets,5.0,2023,75
C.J. Mosley,LB,0,Jets,5.0,2023,75
Quincy Williams,LB,0,Jets,5.0,2023,75
Michael Carter II,CB,0,Jets,5.0,2023,75
Bryce Hall,CB,0,Jets,5.0,2023,75
Sauce Gardner,CB,0,Jets,5.0,2023,75
Jordan Whitehead,S,0,Jets,5.0,2023,75
Tony Adams,S,0,Jets,5.0,2023,75
