Unnamed: 0_level_0,Unnamed: 1_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,week,year,game_id
Player,Tm,Tgt,Rec,Yds,TD,Lng,,,
Joshua Dobbs,ARI,0,0,0,0,0,6.0,2023,89
Keaontay Ingram,ARI,2,2,11,0,9,6.0,2023,89
Damien Williams,ARI,1,1,8,0,8,6.0,2023,89
Emari Demercado,ARI,1,1,6,0,6,6.0,2023,89
Michael Wilson,ARI,4,3,62,0,26,6.0,2023,89
Trey McBride,ARI,5,4,62,0,27,6.0,2023,89
Marquise Brown,ARI,11,4,34,0,22,6.0,2023,89
Zach Ertz,ARI,5,2,22,0,12,6.0,2023,89
Zach Pascal,ARI,1,0,0,0,0,6.0,2023,89
Greg Dortch,ARI,1,0,0,0,0,6.0,2023,89
Rondale Moore,ARI,7,4,30,0,9,6.0,2023,89
Matthew Stafford,LAR,0,0,0,0,0,6.0,2023,89
Kyren Williams,LAR,0,0,0,0,0,6.0,2023,89
Zach Evans,LAR,0,0,0,0,0,6.0,2023,89
Ronnie Rivers,LAR,1,1,4,0,4,6.0,2023,89
Cooper Kupp,LAR,9,7,148,1,49,6.0,2023,89
Tutu Atwell,LAR,1,1,30,0,30,6.0,2023,89
Puka Nacua,LAR,7,4,26,0,9,6.0,2023,89
Tyler Higbee,LAR,3,2,18,0,9,6.0,2023,89
