#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,15:00,SFO 16,5,2:44,84,Touchdown,0,49ers,6.0,2023,81
2,1,8:46,CLE 26,4,1:56,-10,Missed FG,0,49ers,6.0,2023,81
3,1,3:51,SFO 37,3,1:43,-3,Punt,0,49ers,6.0,2023,81
4,2,14:22,SFO 17,11,6:28,76,Field Goal,0,49ers,6.0,2023,81
5,2,5:38,SFO 25,9,4:02,30,Punt,0,49ers,6.0,2023,81
6,2,0:21,SFO 5,1,0:21,-1,End of Half,0,49ers,6.0,2023,81
7,3,11:09,SFO 34,3,1:01,0,Interception,0,49ers,6.0,2023,81
8,3,8:16,SFO 20,3,2:29,-12,Punt,0,49ers,6.0,2023,81
9,3,2:59,SFO 25,3,3:09,0,Punt,0,49ers,6.0,2023,81
10,4,13:16,SFO 18,3,0:59,0,Punt,0,49ers,6.0,2023,81
11,4,11:04,CLE 8,1,0:06,8,Touchdown,0,49ers,6.0,2023,81
12,4,3:21,SFO 25,3,0:25,-1,Punt,0,49ers,6.0,2023,81
13,4,1:40,SFO 25,9,1:34,52,Missed FG,0,49ers,6.0,2023,81
