Player,Tm,Def Interceptions Int,Def Interceptions Yds,Def Interceptions TD,Def Interceptions Lng,Def Interceptions PD,Sk,Tackles Comb,Tackles Solo,Tackles Ast,Tackles TFL,Tackles QBHits,Fumbles FR,Fumbles Yds,Fumbles TD,Fumbles FF,week,year,game_id
Julius Brents,IND,1,0,0,0,2,0.0,7,5,2,0,0,0,0,0,0,6.0,2023,86
DeForest Buckner,IND,0,0,0,0,0,1.0,3,1,2,1,1,0,0,0,0,6.0,2023,86
Samson Ebukam,IND,0,0,0,0,0,1.0,3,3,0,1,2,0,0,0,0,6.0,2023,86
Tyquan Lewis,IND,0,0,0,0,0,1.0,2,1,1,1,1,0,0,0,0,6.0,2023,86
Zaire Franklin,IND,0,0,0,0,0,0.0,8,6,2,0,0,0,0,0,0,6.0,2023,86
Shaquille Leonard,IND,0,0,0,0,0,0.0,7,5,2,1,0,0,0,0,0,6.0,2023,86
Kenny Moore,IND,0,0,0,0,0,0.0,6,5,1,3,0,0,0,0,0,6.0,2023,86
Julian Blackmon,IND,0,0,0,0,0,0.0,4,4,0,1,0,0,0,0,0,6.0,2023,86
Taven Bryan,IND,0,0,0,0,0,0.0,3,2,1,1,0,0,0,0,0,6.0,2023,86
Kwity Paye,IND,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0,6.0,2023,86
E.J. Speed,IND,0,0,0,0,0,0.0,2,2,0,1,0,0,0,0,0,6.0,2023,86
Grover Stewart,IND,0,0,0,0,0,0.0,2,1,1,0,1,0,0,0,0,6.0,2023,86
Nick Cross,IND,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,6.0,2023,86
Matt Gay,IND,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,6.0,2023,86
Eric Johnson,IND,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0,6.0,2023,86
Jaylon Jones,IND,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,6.0,2023,86
Dayo Odeyingbo,IND,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,6.0,2023,86
Rayshawn Jenkins,JAX,1,24,0,24,1,0.0,8,3,5,0,0,0,0,0,0,6.0,2023,86
Andre Cisco,JAX,1,21,0,21,1,0.0,5,5,0,0,0,0,0,0,0,6.0,2023,86
Darious Williams,JAX,1,0,0,0,2,0.0,3,3,0,0,0,0,0,0,0,6.0,2023,86
Josh Hines-Allen,JAX,0,0,0,0,0,1.0,4,3,1,1,2,0,0,0,1,6.0,2023,86
K'Lavon Chaisson,JAX,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,0,6.0,2023,86
Travon Walker,JAX,0,0,0,0,0,0.5,4,1,3,0,2,0,0,0,0,6.0,2023,86
Roy Robertson-Harris,JAX,0,0,0,0,0,0.5,1,0,1,0,3,0,0,0,0,6.0,2023,86
Foyesade Oluokun,JAX,0,0,0,0,2,0.0,15,10,5,1,0,0,0,0,0,6.0,2023,86
Devin Lloyd,JAX,0,0,0,0,2,0.0,9,7,2,0,0,0,0,0,0,6.0,2023,86
Montaric Brown,JAX,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0,6.0,2023,86
Tyson Campbell,JAX,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0,6.0,2023,86
Tre Herndon,JAX,0,0,0,0,1,0.0,3,2,1,0,0,0,0,0,0,6.0,2023,86
Jeremiah Ledbetter,JAX,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0,6.0,2023,86
Adam Gotsis,JAX,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,6.0,2023,86
Dawuane Smoot,JAX,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,6.0,2023,86
Daniel Thomas,JAX,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,6.0,2023,86
Folorunso Fatukasi,JAX,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,6.0,2023,86
Andrew Wingard,JAX,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,6.0,2023,86
Angelo Blackson,JAX,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,6.0,2023,86
