Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,week,year,game_id
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,,,
Brock Purdy,SFO,21,30,272,1,2,1,12,35,81.5,7.0,2023,106
Christian McCaffrey,SFO,0,0,0,0,0,0,0,0,,7.0,2023,106
George Kittle,SFO,0,0,0,0,0,0,0,0,,7.0,2023,106
Brandon Aiyuk,SFO,0,0,0,0,0,0,0,0,,7.0,2023,106
Jauan Jennings,SFO,0,0,0,0,0,0,0,0,,7.0,2023,106
Ray-Ray McCloud,SFO,0,0,0,0,0,0,0,0,,7.0,2023,106
Ross Dwelley,SFO,0,0,0,0,0,0,0,0,,7.0,2023,106
Elijah Mitchell,SFO,0,0,0,0,0,0,0,0,,7.0,2023,106
Kirk Cousins,MIN,35,45,378,2,1,0,0,60,107.2,7.0,2023,106
Alexander Mattison,MIN,0,0,0,0,0,0,0,0,,7.0,2023,106
Cam Akers,MIN,0,0,0,0,0,0,0,0,,7.0,2023,106
Brandon Powell,MIN,0,0,0,0,0,0,0,0,,7.0,2023,106
Jordan Addison,MIN,0,0,0,0,0,0,0,0,,7.0,2023,106
T.J. Hockenson,MIN,0,0,0,0,0,0,0,0,,7.0,2023,106
K.J. Osborn,MIN,0,0,0,0,0,0,0,0,,7.0,2023,106
Ty Chandler,MIN,0,0,0,0,0,0,0,0,,7.0,2023,106
Trishton Jackson,MIN,0,0,0,0,0,0,0,0,,7.0,2023,106
Josh Oliver,MIN,0,0,0,0,0,0,0,0,,7.0,2023,106
