#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,15:00,PIT 25,3,1:22,3,Punt,0,Steelers,7.0,2023,101
2,1,10:43,PIT 21,6,3:15,32,Punt,0,Steelers,7.0,2023,101
3,1,3:35,PIT 43,8,3:44,22,Field Goal,0,Steelers,7.0,2023,101
4,2,11:10,PIT 19,3,1:03,1,Punt,0,Steelers,7.0,2023,101
5,2,5:56,PIT 25,5,2:10,8,Punt,0,Steelers,7.0,2023,101
6,2,0:17,PIT 14,1,0:17,-1,End of Half,0,Steelers,7.0,2023,101
7,3,14:44,LAR 7,3,1:25,7,Touchdown,0,Steelers,7.0,2023,101
8,3,8:57,PIT 25,3,1:41,0,Punt,0,Steelers,7.0,2023,101
9,3,1:22,PIT 41,5,2:33,59,Touchdown,0,Steelers,7.0,2023,101
10,4,12:36,PIT 20,10,5:16,80,Touchdown,0,Steelers,7.0,2023,101
11,4,5:28,PIT 14,10,5:28,43,End of Game,0,Steelers,7.0,2023,101
