Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Sam Howell,WAS,0,0,0,0,0,7.0,2023,100
Chris Rodriguez,WAS,0,0,0,0,0,7.0,2023,100
Brian Robinson Jr.,WAS,1,0,0,0,0,7.0,2023,100
Antonio Gibson,WAS,2,2,24,0,12,7.0,2023,100
Terry McLaurin,WAS,9,6,90,0,31,7.0,2023,100
Logan Thomas,WAS,6,4,51,0,15,7.0,2023,100
Jahan Dotson,WAS,8,5,43,0,10,7.0,2023,100
Curtis Samuel,WAS,8,4,25,0,18,7.0,2023,100
Byron Pringle,WAS,1,1,16,0,16,7.0,2023,100
John Bates,WAS,1,0,0,0,0,7.0,2023,100
Tyrod Taylor,NYG,0,0,0,0,0,7.0,2023,100
Saquon Barkley,NYG,4,3,41,1,32,7.0,2023,100
Matt Breida,NYG,1,1,5,0,5,7.0,2023,100
Darren Waller,NYG,8,7,98,1,27,7.0,2023,100
Jalin Hyatt,NYG,5,2,75,0,42,7.0,2023,100
Wan'Dale Robinson,NYG,2,1,22,0,22,7.0,2023,100
Darius Slayton,NYG,2,1,22,0,22,7.0,2023,100
Isaiah Hodgins,NYG,4,2,13,0,8,7.0,2023,100
Sterling Shepard,NYG,1,1,3,0,3,7.0,2023,100
