Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,week,year,game_id
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,,,
Tyson Bagent,CHI,25,37,232,0,2,1,10,41,62.0,8.0,2023,121
D'Onta Foreman,CHI,0,0,0,0,0,0,0,0,,8.0,2023,121
Roschon Johnson,CHI,0,0,0,0,0,0,0,0,,8.0,2023,121
Darrynton Evans,CHI,0,0,0,0,0,0,0,0,,8.0,2023,121
Darnell Mooney,CHI,0,0,0,0,0,0,0,0,,8.0,2023,121
Cole Kmet,CHI,0,0,0,0,0,0,0,0,,8.0,2023,121
D.J. Moore,CHI,0,0,0,0,0,0,0,0,,8.0,2023,121
Tyler Scott,CHI,0,0,0,0,0,0,0,0,,8.0,2023,121
Robert Tonyan,CHI,0,0,0,0,0,0,0,0,,8.0,2023,121
Velus Jones Jr.,CHI,0,0,0,0,0,0,0,0,,8.0,2023,121
Khari Blasingame,CHI,0,0,0,0,0,0,0,0,,8.0,2023,121
Trent Taylor,CHI,0,0,0,0,0,0,0,0,,8.0,2023,121
Justin Herbert,LAC,31,40,298,3,0,0,0,39,122.7,8.0,2023,121
Austin Ekeler,LAC,0,0,0,0,0,0,0,0,,8.0,2023,121
Joshua Kelley,LAC,0,0,0,0,0,0,0,0,,8.0,2023,121
Isaiah Spiller,LAC,0,0,0,0,0,0,0,0,,8.0,2023,121
Keenan Allen,LAC,0,0,0,0,0,0,0,0,,8.0,2023,121
Quentin Johnston,LAC,0,0,0,0,0,0,0,0,,8.0,2023,121
Donald Parham,LAC,0,0,0,0,0,0,0,0,,8.0,2023,121
Josh Palmer,LAC,0,0,0,0,0,0,0,0,,8.0,2023,121
Simi Fehoko,LAC,0,0,0,0,0,0,0,0,,8.0,2023,121
Derius Davis,LAC,0,0,0,0,0,0,0,0,,8.0,2023,121
