Player,Tm,Passing Cmp,Passing Att,Passing Yds,Passing TD,Passing Int,Passing Sk,Passing Yds.1,Passing Lng,Passing Rate,week,year,game_id
C.J. Stroud,HOU,16,24,140,0,0,2,21,31,81.9,8.0,2023,108
Dameon Pierce,HOU,0,0,0,0,0,0,0,0,,8.0,2023,108
Devin Singletary,HOU,0,0,0,0,0,0,0,0,,8.0,2023,108
Tank Dell,HOU,0,0,0,0,0,0,0,0,,8.0,2023,108
Mike Boone,HOU,0,0,0,0,0,0,0,0,,8.0,2023,108
Andrew Beck,HOU,0,0,0,0,0,0,0,0,,8.0,2023,108
Noah Brown,HOU,0,0,0,0,0,0,0,0,,8.0,2023,108
Nico Collins,HOU,0,0,0,0,0,0,0,0,,8.0,2023,108
Dalton Schultz,HOU,0,0,0,0,0,0,0,0,,8.0,2023,108
Bryce Young,CAR,22,31,235,1,0,6,55,40,103.6,8.0,2023,108
Chuba Hubbard,CAR,0,0,0,0,0,0,0,0,,8.0,2023,108
Raheem Blackshear,CAR,0,0,0,0,0,0,0,0,,8.0,2023,108
Adam Thielen,CAR,0,0,0,0,0,0,0,0,,8.0,2023,108
Jonathan Mingo,CAR,0,0,0,0,0,0,0,0,,8.0,2023,108
DJ Chark,CAR,0,0,0,0,0,0,0,0,,8.0,2023,108
Stephen Sullivan,CAR,0,0,0,0,0,0,0,0,,8.0,2023,108
Terrace Marshall Jr.,CAR,0,0,0,0,0,0,0,0,,8.0,2023,108
Tommy Tremble,CAR,0,0,0,0,0,0,0,0,,8.0,2023,108
Miles Sanders,CAR,0,0,0,0,0,0,0,0,,8.0,2023,108
Hayden Hurst,CAR,0,0,0,0,0,0,0,0,,8.0,2023,108
