Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,week,year,game_id
Cole Kmet,CHI,10,10,79,0,4.0,53,5.3,26,2.6,5.3,0,,0,0.0,0,99.6,8.0,2023,121
D.J. Moore,CHI,6,4,55,0,3.0,19,4.8,36,9.0,7.0,1,4.0,0,0.0,1,56.2,8.0,2023,121
Darrynton Evans,CHI,4,3,22,0,0.0,-8,-2.7,30,10.0,-2.0,1,3.0,0,0.0,0,87.5,8.0,2023,121
Roschon Johnson,CHI,4,3,10,0,1.0,-9,-3.0,19,6.3,-2.8,0,,0,0.0,0,77.1,8.0,2023,121
Velus Jones Jr.,CHI,2,1,4,0,,4,4.0,0,0.0,22.0,0,,1,50.0,0,56.2,8.0,2023,121
Robert Tonyan,CHI,1,1,8,0,,3,3.0,5,5.0,3.0,0,,0,0.0,0,100.0,8.0,2023,121
Tyler Scott,CHI,3,1,11,0,1.0,11,11.0,0,0.0,19.3,0,,0,0.0,0,45.1,8.0,2023,121
Darnell Mooney,CHI,4,1,41,0,1.0,41,41.0,0,0.0,17.8,0,,0,0.0,1,30.2,8.0,2023,121
D'Onta Foreman,CHI,2,1,2,0,0.0,3,3.0,-1,-1.0,0.0,0,,0,0.0,0,56.2,8.0,2023,121
Khari Blasingame,CHI,1,0,0,0,,0,,0,,3.0,0,,1,100.0,0,39.6,8.0,2023,121
Keenan Allen,LAC,10,8,69,0,3.0,62,7.8,7,0.9,11.8,0,,0,0.0,0,95.4,8.0,2023,121
Austin Ekeler,LAC,8,7,94,1,5.0,-19,-2.7,113,16.1,-2.3,1,7.0,0,0.0,0,155.2,8.0,2023,121
Quentin Johnston,LAC,6,5,50,0,4.0,30,6.0,20,4.0,7.8,2,2.5,0,0.0,0,101.4,8.0,2023,121
Donald Parham,LAC,5,4,43,1,4.0,8,2.0,35,8.8,2.6,1,4.0,0,0.0,0,142.1,8.0,2023,121
Josh Palmer,LAC,4,3,24,0,1.0,19,6.3,5,1.7,3.5,0,,0,0.0,0,89.6,8.0,2023,121
Derius Davis,LAC,2,2,4,0,,-8,-4.0,12,6.0,-4.0,0,,0,0.0,0,79.2,8.0,2023,121
Simi Fehoko,LAC,2,1,9,1,1.0,2,2.0,7,7.0,9.0,0,,1,50.0,0,102.1,8.0,2023,121
Isaiah Spiller,LAC,1,1,5,0,,0,0.0,5,5.0,0.0,0,,0,0.0,0,87.5,8.0,2023,121
