Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,week,year,game_id
Drake London,ATL,7,5,55,0,3.0,44,8.8,11,2.2,9.4,0,,0,0.0,0,94.3,8.0,2023,111
KhaDarel Hodge,ATL,3,3,75,0,2.0,42,14.0,33,11.0,14.0,0,,0,0.0,0,118.7,8.0,2023,111
Van Jefferson,ATL,5,3,24,0,2.0,20,6.7,4,1.3,13.0,0,,1,20.0,0,72.1,8.0,2023,111
Kyle Pitts,ATL,5,3,35,0,3.0,26,8.7,9,3.0,12.0,0,,0,0.0,0,81.2,8.0,2023,111
Mack Hollins,ATL,3,2,27,0,1.0,16,8.0,11,5.5,13.3,0,,0,0.0,0,95.1,8.0,2023,111
Scott Miller,ATL,2,2,14,1,1.0,12,6.0,2,1.0,6.0,0,,0,0.0,0,135.4,8.0,2023,111
MyCole Pruitt,ATL,2,1,3,0,,3,3.0,0,0.0,5.0,0,,0,0.0,0,56.2,8.0,2023,111
Jonnu Smith,ATL,1,1,13,0,,3,3.0,10,10.0,3.0,0,,0,0.0,0,118.7,8.0,2023,111
Bijan Robinson,ATL,5,0,0,0,0.0,0,,0,,1.8,0,,0,0.0,0,39.6,8.0,2023,111
Derrick Henry,TEN,4,4,21,0,1.0,-10,-2.5,31,7.8,-2.5,0,,0,0.0,0,88.5,8.0,2023,111
DeAndre Hopkins,TEN,6,4,128,3,3.0,95,23.8,33,8.3,22.3,0,,0,0.0,0,149.3,8.0,2023,111
Chigoziem Okonkwo,TEN,5,4,23,0,2.0,15,3.8,8,2.0,7.0,0,,1,20.0,0,85.8,8.0,2023,111
Kyle Philips,TEN,3,3,24,0,,7,2.3,17,5.7,2.3,0,,0,0.0,0,100.0,8.0,2023,111
Tyjae Spears,TEN,4,3,9,0,0.0,-10,-3.3,19,6.3,-1.3,0,,0,0.0,0,77.1,8.0,2023,111
Nick Westbrook-Ikhine,TEN,2,1,33,1,1.0,33,33.0,0,0.0,36.5,0,,0,0.0,0,135.4,8.0,2023,111
Treylon Burks,TEN,2,0,0,0,,0,,0,,40.5,0,,0,0.0,0,39.6,8.0,2023,111
