Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,week,year,game_id
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF,,,
Boye Mafe,SEA,0,0,0,0,0,1.0,6,5,1,0,0,1,0,0,1,9.0,2023,131
Jordyn Brooks,SEA,0,0,0,0,1,0.0,10,8,2,1,0,0,0,0,0,9.0,2023,131
Bobby Wagner,SEA,0,0,0,0,0,0.0,9,6,3,0,0,1,0,0,0,9.0,2023,131
Quandre Diggs,SEA,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0,9.0,2023,131
Devon Witherspoon,SEA,0,0,0,0,1,0.0,6,4,2,0,0,0,0,0,0,9.0,2023,131
Riq Woolen,SEA,0,0,0,0,0,0.0,6,6,0,0,0,0,0,0,0,9.0,2023,131
Julian Love,SEA,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0,9.0,2023,131
Jon Rhattigan,SEA,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0,9.0,2023,131
Derick Hall,SEA,0,0,0,0,0,0.0,4,2,2,1,0,0,0,0,0,9.0,2023,131
Jamal Adams,SEA,0,0,0,0,0,0.0,3,2,1,1,0,0,0,0,0,9.0,2023,131
Nick Bellore,SEA,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0,9.0,2023,131
Tre Brown,SEA,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,1,9.0,2023,131
Dre'Mont Jones,SEA,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0,9.0,2023,131
Drake Thomas,SEA,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,9.0,2023,131
Leonard Williams,SEA,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,9.0,2023,131
Frank Clark,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,9.0,2023,131
Mario Edwards,SEA,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0,9.0,2023,131
Jarran Reed,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,9.0,2023,131
Jerrick Reed,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,9.0,2023,131
Darrell Taylor,SEA,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,9.0,2023,131
Geno Stone,BAL,1,0,0,0,2,0.0,1,1,0,0,0,0,0,0,0,9.0,2023,131
Kyle Van Noy,BAL,0,0,0,0,0,2.0,2,2,0,1,2,0,0,0,1,9.0,2023,131
Nnamdi Madubuike,BAL,0,0,0,0,0,1.0,4,4,0,2,1,0,0,0,0,9.0,2023,131
Odafe Oweh,BAL,0,0,0,0,0,1.0,2,2,0,1,1,0,0,0,0,9.0,2023,131
Patrick Queen,BAL,0,0,0,0,0,0.0,6,5,1,1,0,0,0,0,0,9.0,2023,131
Roquan Smith,BAL,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0,9.0,2023,131
Jadeveon Clowney,BAL,0,0,0,0,2,0.0,3,2,1,0,0,0,0,0,0,9.0,2023,131
Kyle Hamilton,BAL,0,0,0,0,1,0.0,3,2,1,0,0,0,0,0,0,9.0,2023,131
Arthur Maulet,BAL,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,9.0,2023,131
Tavius Robinson,BAL,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,9.0,2023,131
Trenton Simpson,BAL,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,9.0,2023,131
Brandon Stephens,BAL,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,9.0,2023,131
Marlon Humphrey,BAL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,9.0,2023,131
Charlie Kolar,BAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,9.0,2023,131
Keaton Mitchell,BAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,9.0,2023,131
Tylan Wallace,BAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,9.0,2023,131
Broderick Washington Jr.,BAL,0,0,0,0,0,0.0,1,0,1,0,0,1,0,0,0,9.0,2023,131
Lamar Jackson,BAL,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,9.0,2023,131
Travis Jones,BAL,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,9.0,2023,131
Michael Pierce,BAL,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,9.0,2023,131
