Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,week,year,game_id
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF,,,
Azeez Al-Shaair,TEN,0,0,0,0,1,0.0,10,2,8,0,0,0,0,0,0,9.0,2023,123
Amani Hooker,TEN,0,0,0,0,0,0.0,7,6,1,0,0,0,0,0,0,9.0,2023,123
Jeffery Simmons,TEN,0,0,0,0,0,0.0,7,4,3,1,1,0,0,0,0,9.0,2023,123
Jack Gibbens,TEN,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0,9.0,2023,123
Kristian Fulton,TEN,0,0,0,0,1,0.0,5,4,1,1,0,0,0,0,0,9.0,2023,123
Elijah Molden,TEN,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0,9.0,2023,123
Tre Avery,TEN,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0,9.0,2023,123
Terrell Edmunds,TEN,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0,9.0,2023,123
Trevis Gipson,TEN,0,0,0,0,0,0.0,4,0,4,0,0,0,0,0,0,9.0,2023,123
Denico Autry,TEN,0,0,0,0,1,0.0,3,1,2,0,0,0,0,0,0,9.0,2023,123
Monty Rice,TEN,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0,9.0,2023,123
Anthony Kendall,TEN,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0,9.0,2023,123
Arden Key,TEN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,9.0,2023,123
Eric Garror,TEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,9.0,2023,123
Matthew Jackson,TEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,9.0,2023,123
Naquan Jones,TEN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,9.0,2023,123
Harold Landry,TEN,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0,9.0,2023,123
Sean Murphy-Bunting,TEN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,9.0,2023,123
Kyle Peko,TEN,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0,9.0,2023,123
Kevin Rader,TEN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,9.0,2023,123
Teair Tart,TEN,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0,9.0,2023,123
Kwon Alexander,PIT,1,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0,9.0,2023,123
Alex Highsmith,PIT,0,0,0,0,0,2.0,4,2,2,2,5,0,0,0,0,9.0,2023,123
T.J. Watt,PIT,0,0,0,0,0,1.0,4,2,2,1,2,0,0,0,0,9.0,2023,123
Markus Golden,PIT,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,0,9.0,2023,123
Elandon Roberts,PIT,0,0,0,0,0,0.0,9,4,5,1,0,0,0,0,0,9.0,2023,123
Keanu Neal,PIT,0,0,0,0,0,0.0,7,3,4,0,0,0,0,0,0,9.0,2023,123
Cameron Heyward,PIT,0,0,0,0,0,0.0,6,4,2,1,0,0,0,0,0,9.0,2023,123
Larry Ogunjobi,PIT,0,0,0,0,0,0.0,5,3,2,0,1,0,0,0,0,9.0,2023,123
Damontae Kazee,PIT,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0,9.0,2023,123
Patrick Peterson,PIT,0,0,0,0,1,0.0,3,3,0,0,0,0,0,0,0,9.0,2023,123
Joey Porter Jr.,PIT,0,0,0,0,1,0.0,3,3,0,0,0,0,0,0,0,9.0,2023,123
Darius Rush,PIT,0,0,0,0,1,0.0,3,2,1,0,0,0,0,0,0,9.0,2023,123
Keeanu Benton,PIT,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,9.0,2023,123
Cole Holcomb,PIT,0,0,0,0,0,0.0,2,0,2,0,1,0,0,0,0,9.0,2023,123
DeMarvin Leal,PIT,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,9.0,2023,123
Isaiahh Loudermilk,PIT,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0,9.0,2023,123
Miles Boykin,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,9.0,2023,123
Connor Heyward,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,9.0,2023,123
Mark Robinson,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,9.0,2023,123
Chandon Sullivan,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,9.0,2023,123
Levi Wallace,PIT,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,0,9.0,2023,123
