Player,Pos,home_team,team,week,year,game_id
Geno Smith,QB,0,Seahawks,9.0,2023,131
Kenneth Walker III,RB,0,Seahawks,9.0,2023,131
Tyler Lockett,WR,0,Seahawks,9.0,2023,131
D.K. Metcalf,WR,0,Seahawks,9.0,2023,131
Will Dissly,TE,0,Seahawks,9.0,2023,131
Noah Fant,TE,0,Seahawks,9.0,2023,131
Charles Cross,T,0,Seahawks,9.0,2023,131
Stone Forsythe,T,0,Seahawks,9.0,2023,131
Phil Haynes,G,0,Seahawks,9.0,2023,131
Damien Lewis,G,0,Seahawks,9.0,2023,131
Evan Brown,C,0,Seahawks,9.0,2023,131
Leonard Williams,DL,0,Seahawks,9.0,2023,131
Dre'Mont Jones,DE,0,Seahawks,9.0,2023,131
Jarran Reed,DE,0,Seahawks,9.0,2023,131
Jordyn Brooks,LB,0,Seahawks,9.0,2023,131
Bobby Wagner,LB,0,Seahawks,9.0,2023,131
Darrell Taylor,LB,0,Seahawks,9.0,2023,131
Boye Mafe,LB,0,Seahawks,9.0,2023,131
Devon Witherspoon,CB,0,Seahawks,9.0,2023,131
Riq Woolen,CB,0,Seahawks,9.0,2023,131
Jamal Adams,SS,0,Seahawks,9.0,2023,131
Quandre Diggs,FS,0,Seahawks,9.0,2023,131
