Player,Tm,Rushing Att,Rushing Yds,Rushing TD,Rushing Lng,week,year,game_id
Geno Smith,SEA,2,4,0,5,9.0,2023,131
Kenneth Walker III,SEA,9,16,0,6,9.0,2023,131
Zach Charbonnet,SEA,4,8,0,4,9.0,2023,131
Jaxon Smith-Njigba,SEA,0,0,0,0,9.0,2023,131
D.K. Metcalf,SEA,0,0,0,0,9.0,2023,131
Tyler Lockett,SEA,0,0,0,0,9.0,2023,131
Colby Parkinson,SEA,0,0,0,0,9.0,2023,131
Will Dissly,SEA,0,0,0,0,9.0,2023,131
Noah Fant,SEA,0,0,0,0,9.0,2023,131
Lamar Jackson,BAL,10,60,0,23,9.0,2023,131
Tyler Huntley,BAL,4,8,0,8,9.0,2023,131
Keaton Mitchell,BAL,9,138,1,60,9.0,2023,131
Gus Edwards,BAL,5,52,2,42,9.0,2023,131
Justice Hill,BAL,13,40,0,9,9.0,2023,131
Mark Andrews,BAL,0,0,0,0,9.0,2023,131
Odell Beckham Jr.,BAL,0,0,0,0,9.0,2023,131
Isaiah Likely,BAL,0,0,0,0,9.0,2023,131
Rashod Bateman,BAL,0,0,0,0,9.0,2023,131
Zay Flowers,BAL,0,0,0,0,9.0,2023,131
Devin Duvernay,BAL,0,0,0,0,9.0,2023,131
Nelson Agholor,BAL,0,0,0,0,9.0,2023,131
