Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,week,year,game_id
Carlton Davis,TAM,0,8,8,100.0%,133.0,16.6,16.6,3.0,158.3,14.3,114.0,19.0,0,0,0,0.0,0,5,2,28.6%,9.0,2023,127
Lavonte David,TAM,0,6,6,100.0%,70.0,11.7,11.7,0.0,115.3,3.7,22.0,48.0,3,0,0,0.0,0,11,2,15.4%,9.0,2023,127
Zyon McCollum,TAM,0,9,6,66.7%,101.0,16.8,11.2,0.0,104.4,13.9,54.0,47.0,0,0,0,0.0,0,6,0,0.0%,9.0,2023,127
Ryan Neal,TAM,0,3,3,100.0%,99.0,33.0,33.0,1.0,158.3,14.0,42.0,57.0,2,0,0,0.0,0,2,0,0.0%,9.0,2023,127
Christian Izien,TAM,0,4,3,75.0%,39.0,13.0,9.8,0.0,105.2,7.5,16.0,23.0,0,0,0,0.0,0,2,0,0.0%,9.0,2023,127
Devin White,TAM,0,3,2,66.7%,15.0,7.5,5.0,0.0,78.5,6.7,12.0,3.0,8,2,1,1.0,4,9,0,0.0%,9.0,2023,127
Calijah Kancey,TAM,0,1,1,100.0%,-1.0,-1.0,-1.0,0.0,79.2,-1.0,-1.0,0.0,0,1,0,1.0,2,4,0,0.0%,9.0,2023,127
Jamel Dean,TAM,0,1,1,100.0%,14.0,14.0,14.0,1.0,158.3,6.0,6.0,8.0,0,0,0,0.0,0,0,1,100.0%,9.0,2023,127
Shaquil Barrett,TAM,0,0,0,,,,,,,,,,4,2,2,1.0,5,3,0,0.0%,9.0,2023,127
Vita Vea,TAM,0,0,0,,,,,,,,,,0,0,1,0.0,1,4,0,0.0%,9.0,2023,127
Joe Tryon-Shoyinka,TAM,0,0,0,,,,,,,,,,2,1,0,0.0,1,1,0,0.0%,9.0,2023,127
YaYa Diaby,TAM,0,0,0,,,,,,,,,,4,1,0,0.0,1,0,1,100.0%,9.0,2023,127
Greg Gaines,TAM,0,0,0,,,,,,,,,,0,0,1,0.0,1,1,0,0.0%,9.0,2023,127
Antoine Winfield Jr.,TAM,0,2,0,0.0%,,,0.0,,39.6,23.0,,,1,0,0,0.0,0,3,0,0.0%,9.0,2023,127
Anthony Nelson,TAM,0,0,0,,,,,,,,,,3,0,0,0.0,0,1,0,0.0%,9.0,2023,127
Dee Delaney,TAM,0,1,0,0.0%,,,0.0,,39.6,12.0,,,0,0,0,0.0,0,1,0,0.0%,9.0,2023,127
Denzel Perryman,HOU,0,6,4,66.7%,49.0,12.3,8.2,0.0,91.7,11.7,29.0,20.0,2,1,0,0.0,1,6,0,0.0%,9.0,2023,127
Steven Nelson,HOU,0,4,4,100.0%,92.0,23.0,23.0,0.0,118.7,18.5,74.0,18.0,0,0,0,0.0,0,5,0,0.0%,9.0,2023,127
Christian Harris,HOU,0,4,3,75.0%,41.0,13.7,10.3,0.0,107.3,1.5,4.0,37.0,2,0,0,0.0,0,5,1,16.7%,9.0,2023,127
Tavierre Thomas,HOU,0,4,3,75.0%,22.0,7.3,5.5,0.0,87.5,4.5,14.0,8.0,1,0,0,0.0,0,10,1,9.1%,9.0,2023,127
Henry To'oTo'o,HOU,0,2,2,100.0%,17.0,8.5,8.5,2.0,141.7,8.0,16.0,1.0,0,0,0,0.0,0,5,0,0.0%,9.0,2023,127
Blake Cashman,HOU,0,1,1,100.0%,1.0,1.0,1.0,0.0,79.2,-4.0,-4.0,5.0,1,0,0,0.0,0,10,1,9.1%,9.0,2023,127
Jake Hansen,HOU,0,1,1,100.0%,9.0,9.0,9.0,0.0,104.2,5.0,5.0,4.0,0,0,0,0.0,0,0,1,100.0%,9.0,2023,127
Shaquill Griffin,HOU,0,4,1,25.0%,10.0,10.0,2.5,0.0,39.6,11.5,6.0,4.0,0,0,0,0.0,0,1,0,0.0%,9.0,2023,127
Jimmie Ward,HOU,0,1,1,100.0%,9.0,9.0,9.0,0.0,104.2,7.0,7.0,2.0,0,0,0,0.0,0,2,0,0.0%,9.0,2023,127
Jonathan Greenard,HOU,0,0,0,,,,,,,,,,0,1,3,0.0,4,2,0,0.0%,9.0,2023,127
Will Anderson,HOU,0,0,0,,,,,,,,,,0,2,0,1.0,3,3,0,0.0%,9.0,2023,127
Khalil Davis,HOU,0,0,0,,,,,,,,,,0,2,0,1.0,3,4,0,0.0%,9.0,2023,127
Maliek Collins,HOU,0,0,0,,,,,,,,,,0,2,0,0.0,2,1,0,0.0%,9.0,2023,127
Jerry Hughes,HOU,0,0,0,,,,,,,,,,0,1,0,0.0,1,4,0,0.0%,9.0,2023,127
Jalen Pitre,HOU,0,2,0,0.0%,,,0.0,,39.6,13.0,,,0,0,0,0.0,0,6,0,0.0%,9.0,2023,127
Kurt Hinish,HOU,0,0,0,,,,,,,,,,0,0,0,0.0,0,0,1,100.0%,9.0,2023,127
