Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,week,year,game_id
Kyler Gordon,CHI,0,7,6,85.7%,63.0,10.5,9.0,1.0,143.7,5.4,17.0,46.0,2,0,0,0.0,0,5,0,0.0%,9.0,2023,129
Jack Sanborn,CHI,0,6,5,83.3%,51.0,10.2,8.5,0.0,102.1,2.2,7.0,44.0,2,0,0,0.0,0,10,3,23.1%,9.0,2023,129
T.J. Edwards,CHI,0,5,4,80.0%,32.0,8.0,6.4,0.0,93.3,4.0,17.0,15.0,4,0,1,0.0,1,15,0,0.0%,9.0,2023,129
Tyrique Stevenson,CHI,0,4,4,100.0%,27.0,6.8,6.8,1.0,134.4,4.5,18.0,9.0,0,0,0,0.0,0,5,0,0.0%,9.0,2023,129
Jaylon Johnson,CHI,0,3,3,100.0%,14.0,4.7,4.7,0.0,86.1,1.3,4.0,10.0,0,0,0,0.0,0,4,1,20.0%,9.0,2023,129
Eddie Jackson,CHI,0,2,2,100.0%,19.0,9.5,9.5,0.0,106.2,9.0,18.0,1.0,0,0,0,0.0,0,6,2,25.0%,9.0,2023,129
Elijah Hicks,CHI,0,2,1,50.0%,3.0,3.0,1.5,1.0,95.8,1.5,3.0,0.0,0,0,0,0.0,0,6,0,0.0%,9.0,2023,129
Jaylon Jones,CHI,0,3,1,33.3%,5.0,5.0,1.7,0.0,42.4,3.7,4.0,1.0,0,0,0,0.0,0,3,0,0.0%,9.0,2023,129
Justin Jones,CHI,0,0,0,,,,,,,,,,0,0,1,0.0,1,2,0,0.0%,9.0,2023,129
DeMarcus Walker,CHI,0,0,0,,,,,,,,,,2,0,0,0.0,0,0,0,,9.0,2023,129
Yannick Ngakoue,CHI,0,0,0,,,,,,,,,,2,0,0,0.0,0,1,0,0.0%,9.0,2023,129
Paulson Adebo,NOR,2,8,5,62.5%,56.0,11.2,7.0,0.0,43.7,8.9,32.0,24.0,0,0,0,0.0,0,7,0,0.0%,9.0,2023,129
Demario Davis,NOR,0,4,4,100.0%,61.0,15.3,15.3,0.0,118.7,2.0,8.0,53.0,6,0,1,1.0,2,9,1,10.0%,9.0,2023,129
Tyrann Mathieu,NOR,0,4,3,75.0%,42.0,14.0,10.5,1.0,147.9,10.3,28.0,14.0,1,0,0,0.0,0,6,0,0.0%,9.0,2023,129
Zack Baun,NOR,0,2,2,100.0%,27.0,13.5,13.5,1.0,158.3,9.5,19.0,8.0,1,0,0,0.0,0,2,0,0.0%,9.0,2023,129
Pete Werner,NOR,0,3,2,66.7%,20.0,10.0,6.7,0.0,85.4,-1.3,1.0,19.0,2,0,0,0.0,0,3,1,25.0%,9.0,2023,129
Cameron Jordan,NOR,0,1,1,100.0%,12.0,12.0,12.0,0.0,116.7,-2.0,-2.0,14.0,0,1,1,1.0,3,7,0,0.0%,9.0,2023,129
Alontae Taylor,NOR,0,4,1,25.0%,2.0,2.0,0.5,0.0,39.6,9.5,-4.0,6.0,2,0,0,0.0,0,2,0,0.0%,9.0,2023,129
Carl Granderson,NOR,0,0,0,,,,,,,,,,1,0,1,0.0,1,6,1,14.3%,9.0,2023,129
Malcolm Roach,NOR,0,0,0,,,,,,,,,,0,0,0,0.0,0,2,1,33.3%,9.0,2023,129
Marcus Maye,NOR,1,2,0,0.0%,,,0.0,,0.0,4.5,,,2,0,0,0.0,0,3,0,0.0%,9.0,2023,129
Marshon Lattimore,NOR,0,0,0,,,,,,,,,,0,0,0,0.0,0,3,1,25.0%,9.0,2023,129
