Player,Pos,Off. Num,Off. Pct,Def. Num,Def. Pct,ST Num,ST Pct,home_team,team,week,year,game_id
Trey Pipkins,T,58,100%,0,0%,5,17%,0,Chargers,9.0,2023,136
Jamaree Salyer,G,58,100%,0,0%,5,17%,0,Chargers,9.0,2023,136
Will Clapp,C,58,100%,0,0%,5,17%,0,Chargers,9.0,2023,136
Zion Johnson,G,58,100%,0,0%,5,17%,0,Chargers,9.0,2023,136
Rashawn Slater,T,58,100%,0,0%,5,17%,0,Chargers,9.0,2023,136
Justin Herbert,QB,58,100%,0,0%,0,0%,0,Chargers,9.0,2023,136
Keenan Allen,WR,50,86%,0,0%,0,0%,0,Chargers,9.0,2023,136
Quentin Johnston,WR,48,83%,0,0%,0,0%,0,Chargers,9.0,2023,136
Austin Ekeler,RB,39,67%,0,0%,0,0%,0,Chargers,9.0,2023,136
Jalen Guyton,WR,33,57%,0,0%,0,0%,0,Chargers,9.0,2023,136
Gerald Everett,TE,32,55%,0,0%,0,0%,0,Chargers,9.0,2023,136
Donald Parham,TE,32,55%,0,0%,0,0%,0,Chargers,9.0,2023,136
Joshua Kelley,RB,20,34%,0,0%,0,0%,0,Chargers,9.0,2023,136
Nick Vannett,TE,12,21%,0,0%,3,10%,0,Chargers,9.0,2023,136
Stone Smartt,TE,9,16%,0,0%,9,30%,0,Chargers,9.0,2023,136
Derius Davis,WR,8,14%,0,0%,10,33%,0,Chargers,9.0,2023,136
Simi Fehoko,WR,4,7%,0,0%,6,20%,0,Chargers,9.0,2023,136
Jordan McFadden,G,2,3%,0,0%,0,0%,0,Chargers,9.0,2023,136
Foster Sarell,T,1,2%,0,0%,5,17%,0,Chargers,9.0,2023,136
Ja'Sir Taylor,CB,0,0%,68,84%,14,47%,0,Chargers,9.0,2023,136
Alohi Gilman,SS,0,0%,66,81%,3,10%,0,Chargers,9.0,2023,136
Asante Samuel Jr.,CB,0,0%,66,81%,3,10%,0,Chargers,9.0,2023,136
Michael Davis,CB,0,0%,66,81%,2,7%,0,Chargers,9.0,2023,136
Derwin James,SS,0,0%,66,81%,1,3%,0,Chargers,9.0,2023,136
Kenneth Murray,LB,0,0%,66,81%,1,3%,0,Chargers,9.0,2023,136
Eric Kendricks,LB,0,0%,61,75%,1,3%,0,Chargers,9.0,2023,136
Khalil Mack,DE,0,0%,57,70%,0,0%,0,Chargers,9.0,2023,136
Tuli Tuipulotu,DE,0,0%,50,62%,11,37%,0,Chargers,9.0,2023,136
Joey Bosa,DE,0,0%,46,57%,0,0%,0,Chargers,9.0,2023,136
Sebastian Joseph-Day,DT,0,0%,42,52%,1,3%,0,Chargers,9.0,2023,136
Austin Johnson,DT,0,0%,39,48%,2,7%,0,Chargers,9.0,2023,136
Otito Ogbonnia,DT,0,0%,37,46%,2,7%,0,Chargers,9.0,2023,136
Morgan Fox,DT,0,0%,24,30%,2,7%,0,Chargers,9.0,2023,136
Nick Williams,DT,0,0%,23,28%,7,23%,0,Chargers,9.0,2023,136
Dean Marlowe,SS,0,0%,21,26%,22,74%,0,Chargers,9.0,2023,136
Chris Rumph,DE,0,0%,18,22%,23,77%,0,Chargers,9.0,2023,136
Nick Niemann,LB,0,0%,15,19%,24,80%,0,Chargers,9.0,2023,136
Deane Leonard,CB,0,0%,15,19%,22,74%,0,Chargers,9.0,2023,136
Daiyan Henley,LB,0,0%,15,19%,22,74%,0,Chargers,9.0,2023,136
AJ Finley,FS,0,0%,15,19%,14,47%,0,Chargers,9.0,2023,136
Essang Bassey,CB,0,0%,15,19%,5,17%,0,Chargers,9.0,2023,136
Amen Ogbongbemiga,LB,0,0%,0,0%,24,80%,0,Chargers,9.0,2023,136
Tanner Muse,LB,0,0%,0,0%,24,80%,0,Chargers,9.0,2023,136
JK Scott,P,0,0%,0,0%,13,43%,0,Chargers,9.0,2023,136
Josh Harris,LS,0,0%,0,0%,13,43%,0,Chargers,9.0,2023,136
Cameron Dicker,K,0,0%,0,0%,10,33%,0,Chargers,9.0,2023,136
Brenden Jaimes,G,0,0%,0,0%,5,17%,0,Chargers,9.0,2023,136
