Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Team,Draft Team,Draft Round,Draft Pick,Draft Year
Andrew Adams,31.0,S,3,0.0,205.0,71,Connecticut,10/28/1992,7,0.0,Baltimore Ravens,,,,
Nelson Agholor,30.0,WR,17,3.0,200.0,72,USC,5/24/1993,8,4.0,Baltimore Ravens,Philadelphia Eagles,1.0,20.0,2015.0
Mark Andrews,28.0,TE,10,9.0,250.0,77,Oklahoma,9/6/1995,5,6.0,Baltimore Ravens,Baltimore Ravens,3.0,86.0,2018.0
Jalyn Armour-Davis,24.0,CB,8,0.0,200.0,73,Alabama,9/3/1999,1,0.0,Baltimore Ravens,Baltimore Ravens,4.0,119.0,2022.0
Rashod Bateman,24.0,WR,16,12.0,193.0,73,Minnesota,11/29/1999,2,4.0,Baltimore Ravens,Baltimore Ravens,1.0,27.0,2021.0
Odell Beckham Jr.,31.0,WR,14,6.0,200.0,71,LSU,11/5/1992,9,6.0,Baltimore Ravens,New York Giants,1.0,12.0,2014.0
Dan Chisena,26.0,WR,0,0.0,203.0,75,Penn St.,2/25/1997,3,0.0,Baltimore Ravens,,,,
Ben Cleveland,25.0,G,16,2.0,355.0,78,Georgia,8/25/1998,2,2.0,Baltimore Ravens,Baltimore Ravens,3.0,94.0,2021.0
Jadeveon Clowney,30.0,OLB,17,15.0,266.0,77,South Carolina,2/14/1993,9,8.0,Baltimore Ravens,Houston Texans,1.0,1.0,2014.0
Dalvin Cook,28.0,RB,0,0.0,210.0,70,Florida St.,8/10/1995,6,0.0,Baltimore Ravens,Minnesota Vikings,2.0,41.0,2017.0
Malik Cunningham,25.0,QB,1,0.0,190.0,73,Louisville,10/6/1998,0,0.0,Baltimore Ravens,,,,
Ronald Darby,29.0,LCB,16,7.0,193.0,71,Florida St.,1/2/1994,8,3.0,Baltimore Ravens,Buffalo Bills,2.0,50.0,2015.0
J.K. Dobbins,25.0,RB,1,1.0,212.0,70,Ohio St.,12/17/1998,3,0.0,Baltimore Ravens,Baltimore Ravens,2.0,55.0,2020.0
Kenyan Drake,29.0,RB,2,0.0,216.0,73,Alabama,1/26/1994,7,0.0,Baltimore Ravens,Miami Dolphins,3.0,73.0,2016.0
Devin Duvernay,26.0,WR,13,1.0,202.0,71,Texas,9/12/1997,3,0.0,Baltimore Ravens,Baltimore Ravens,3.0,92.0,2020.0
Gus Edwards,28.0,RB,17,9.0,238.0,73,"Miami (FL),Rutgers",4/13/1995,5,7.0,Baltimore Ravens,,,,
Daniel Faalele,24.0,T,16,0.0,370.0,78,Minnesota,11/9/1999,1,1.0,Baltimore Ravens,Baltimore Ravens,4.0,110.0,2022.0
Zay Flowers,23.0,WR,16,16.0,183.0,69,Boston Col.,9/11/2000,0,9.0,Baltimore Ravens,Baltimore Ravens,1.0,22.0,2023.0
Melvin Gordon,30.0,RB,4,0.0,215.0,73,Wisconsin,4/13/1993,8,1.0,Baltimore Ravens,San Diego Chargers,1.0,15.0,2015.0
