Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,PD,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,QBHits,TFL,Sk%,NY/A,ANY/A,EXP
1.0,Cleveland Browns,17.0,307.0,535.0,57.4,2800.0,23.0,4.3,18.0,92.0,3.4,5.9,5.2,10.3,164.7,74.7,49.0,349.0,109.0,113.0,8.4,4.8,4.2,46.11
2.0,New York Jets,17.0,313.0,522.0,60.0,2861.0,19.0,3.6,17.0,90.0,3.3,6.1,5.4,10.2,168.3,76.0,48.0,321.0,108.0,100.0,8.4,5.0,4.3,50.07
3.0,Carolina Panthers,17.0,309.0,481.0,64.2,2916.0,19.0,4.0,8.0,64.0,1.7,6.5,6.5,10.1,171.5,88.8,27.0,193.0,74.0,77.0,5.3,5.7,5.8,-43.53
4.0,Kansas City Chiefs,17.0,340.0,556.0,61.2,3001.0,19.0,3.4,8.0,72.0,1.4,6.0,6.1,9.9,176.5,83.6,57.0,351.0,125.0,87.0,9.3,4.9,4.9,51.83
5.0,Dallas Cowboys,17.0,308.0,509.0,60.5,3185.0,21.0,4.1,17.0,74.0,3.3,6.8,6.2,11.3,187.4,80.8,46.0,296.0,99.0,83.0,8.3,5.7,5.1,-25.38
6.0,Baltimore Ravens,17.0,384.0,634.0,60.6,3263.0,18.0,2.8,18.0,92.0,2.8,5.9,5.2,9.7,191.9,74.6,60.0,454.0,117.0,89.0,8.6,4.7,4.1,62.64
7.0,Buffalo Bills,17.0,363.0,552.0,65.8,3342.0,18.0,3.3,18.0,79.0,3.3,6.7,5.8,10.1,196.6,81.9,54.0,334.0,117.0,85.0,8.9,5.5,4.8,-8.17
8.0,Atlanta Falcons,17.0,340.0,549.0,61.9,3449.0,24.0,4.4,8.0,66.0,1.5,6.8,7.0,10.9,202.9,90.3,42.0,258.0,98.0,83.0,7.1,5.8,6.0,-47.91
9.0,Green Bay Packers,17.0,342.0,523.0,65.4,3515.0,21.0,4.0,7.0,68.0,1.3,7.3,7.5,11.1,206.8,94.7,45.0,288.0,108.0,76.0,7.9,6.2,6.4,-72.76
10.0,New Orleans Saints,17.0,333.0,558.0,59.7,3524.0,22.0,3.9,18.0,99.0,3.2,6.8,6.1,11.3,207.3,79.7,34.0,244.0,76.0,70.0,5.7,6.0,5.3,-0.8
11.0,New England Patriots,17.0,370.0,575.0,64.3,3543.0,19.0,3.3,10.0,66.0,1.7,6.6,6.5,10.2,208.4,86.9,36.0,248.0,78.0,80.0,5.9,5.8,5.7,-43.06
12.0,Las Vegas Raiders,17.0,376.0,564.0,66.7,3610.0,21.0,3.7,13.0,56.0,2.3,6.9,6.6,10.4,212.4,89.3,46.0,290.0,89.0,82.0,7.5,5.9,5.6,-35.78
13.0,Arizona Cardinals,17.0,347.0,506.0,68.6,3613.0,32.0,6.3,11.0,66.0,2.2,7.6,7.9,11.1,212.5,102.9,33.0,233.0,59.0,76.0,6.1,6.7,7.0,-137.06
14.0,San Francisco 49ers,17.0,410.0,621.0,66.0,3642.0,20.0,3.2,22.0,84.0,3.5,6.4,5.4,9.6,214.2,79.6,48.0,307.0,122.0,80.0,7.2,5.4,4.6,-23.23
15.0,Miami Dolphins,17.0,380.0,568.0,66.9,3761.0,27.0,4.8,15.0,81.0,2.6,7.3,7.0,10.9,221.2,93.0,56.0,371.0,140.0,79.0,9.0,6.0,5.8,-30.77
16.0,Indianapolis Colts,17.0,370.0,568.0,65.1,3842.0,21.0,3.7,15.0,69.0,2.6,7.3,6.9,11.2,226.0,88.2,51.0,315.0,108.0,94.0,8.2,6.2,5.8,-35.93
17.0,Pittsburgh Steelers,17.0,348.0,573.0,60.7,3860.0,23.0,4.0,16.0,80.0,2.8,7.3,6.8,12.0,227.1,84.7,47.0,304.0,107.0,83.0,7.6,6.2,5.8,-16.35
18.0,Tennessee Titans,17.0,387.0,571.0,67.8,3866.0,20.0,3.5,6.0,55.0,1.1,7.3,7.5,10.8,227.4,96.4,45.0,315.0,84.0,90.0,7.3,6.3,6.5,-103.95
19.0,New York Giants,17.0,371.0,582.0,63.7,3898.0,21.0,3.6,18.0,81.0,3.1,7.1,6.5,11.2,229.3,84.1,34.0,259.0,83.0,76.0,5.5,6.3,5.7,-23.09
20.0,Los Angeles Rams,17.0,367.0,604.0,60.8,3928.0,24.0,4.0,10.0,76.0,1.7,6.9,7.0,11.4,231.1,88.0,41.0,267.0,91.0,75.0,6.4,6.1,6.1,-80.06
