Unnamed: 0_level_0,Unnamed: 1_level_0,Fumbles,Fumbles,week,year,game_id
Player,Tm,Fmb,FL,,,
Justin Fields,PIT,1,0,1.0,2024,3
Najee Harris,PIT,0,0,1.0,2024,3
Cordarrelle Patterson,PIT,0,0,1.0,2024,3
Jaylen Warren,PIT,0,0,1.0,2024,3
Pat Freiermuth,PIT,0,0,1.0,2024,3
MyCole Pruitt,PIT,0,0,1.0,2024,3
Calvin Austin III,PIT,0,0,1.0,2024,3
Darnell Washington,PIT,0,0,1.0,2024,3
Van Jefferson,PIT,0,0,1.0,2024,3
George Pickens,PIT,0,0,1.0,2024,3
Kirk Cousins,ATL,0,0,1.0,2024,3
Bijan Robinson,ATL,0,0,1.0,2024,3
Tyler Allgeier,ATL,0,0,1.0,2024,3
Ray-Ray McCloud,ATL,0,0,1.0,2024,3
Kyle Pitts,ATL,0,0,1.0,2024,3
Darnell Mooney,ATL,0,0,1.0,2024,3
Drake London,ATL,0,0,1.0,2024,3
Charlie Woerner,ATL,0,0,1.0,2024,3
