Player,Pos,home_team,team,week,year,game_id
Josh Allen,QB,1,Bills,1.0,2024,4
James Cook,RB,1,Bills,1.0,2024,4
Keon Coleman,WR,1,Bills,1.0,2024,4
Khalil Shakir,WR,1,Bills,1.0,2024,4
Dawson Knox,TE,1,Bills,1.0,2024,4
Dalton Kincaid,TE,1,Bills,1.0,2024,4
Spencer Brown,T,1,Bills,1.0,2024,4
Dion Dawkins,T,1,Bills,1.0,2024,4
Connor McGovern,G,1,Bills,1.0,2024,4
O'Cyrus Torrence,G,1,Bills,1.0,2024,4
David Edwards,G,1,Bills,1.0,2024,4
A.J. Epenesa,DE,1,Bills,1.0,2024,4
Gregory Rousseau,DE,1,Bills,1.0,2024,4
DaQuan Jones,DT,1,Bills,1.0,2024,4
Ed Oliver,DT,1,Bills,1.0,2024,4
Terrel Bernard,LB,1,Bills,1.0,2024,4
Dorian Williams,LB,1,Bills,1.0,2024,4
Taron Johnson,CB,1,Bills,1.0,2024,4
Rasul Douglas,CB,1,Bills,1.0,2024,4
Christian Benford,CB,1,Bills,1.0,2024,4
Taylor Rapp,S,1,Bills,1.0,2024,4
Damar Hamlin,S,1,Bills,1.0,2024,4
