Unnamed: 0_level_0,Unnamed: 1_level_0,Rushing,Rushing,Rushing,Rushing,week,year,game_id
Player,Tm,Att,Yds,TD,Lng,,,
Jacoby Brissett,NWE,7,32,0,16,1.0,2024,7
Rhamondre Stevenson,NWE,25,120,1,17,1.0,2024,7
Antonio Gibson,NWE,7,18,0,8,1.0,2024,7
Austin Hooper,NWE,0,0,0,0,1.0,2024,7
Tyquan Thornton,NWE,0,0,0,0,1.0,2024,7
K.J. Osborn,NWE,0,0,0,0,1.0,2024,7
Hunter Henry,NWE,0,0,0,0,1.0,2024,7
Demario Douglas,NWE,0,0,0,0,1.0,2024,7
Ja'Lynn Polk,NWE,0,0,0,0,1.0,2024,7
Joe Burrow,CIN,4,15,0,6,1.0,2024,7
Zack Moss,CIN,9,44,1,16,1.0,2024,7
Chase Brown,CIN,3,11,0,8,1.0,2024,7
Ja'Marr Chase,CIN,0,0,0,0,1.0,2024,7
Andrei Iosivas,CIN,0,0,0,0,1.0,2024,7
Tanner Hudson,CIN,0,0,0,0,1.0,2024,7
Mike Gesicki,CIN,0,0,0,0,1.0,2024,7
Trenton Irwin,CIN,0,0,0,0,1.0,2024,7
Charlie Jones,CIN,0,0,0,0,1.0,2024,7
