Player,Pos,home_team,team,week,year,game_id
Matthew Stafford,QB,0,Rams,1.0,2024,15
Kyren Williams,RB,0,Rams,1.0,2024,15
Cooper Kupp,WR,0,Rams,1.0,2024,15
Puka Nacua,WR,0,Rams,1.0,2024,15
Demarcus Robinson,WR,0,Rams,1.0,2024,15
Colby Parkinson,TE,0,Rams,1.0,2024,15
Steve Avila,OL,0,Rams,1.0,2024,15
Kevin Dotson,OL,0,Rams,1.0,2024,15
Warren McClendon,OL,0,Rams,1.0,2024,15
Joseph Noteboom,OL,0,Rams,1.0,2024,15
Jonah Jackson,G,0,Rams,1.0,2024,15
Kobie Turner,DE,0,Rams,1.0,2024,15
Braden Fiske,DE,0,Rams,1.0,2024,15
Bobby Brown,NT,0,Rams,1.0,2024,15
Jared Verse,OLB,0,Rams,1.0,2024,15
Byron Young,OLB,0,Rams,1.0,2024,15
Troy Reeder,LB,0,Rams,1.0,2024,15
Christian Rozeboom,LB,0,Rams,1.0,2024,15
Quentin Lake,DB,0,Rams,1.0,2024,15
Cobie Durant,DB,0,Rams,1.0,2024,15
Tre'Davious White,DB,0,Rams,1.0,2024,15
Kamren Curl,DB,0,Rams,1.0,2024,15
