Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST,home_team,team,week,year,game_id
Player,Pos,Num,Pct,Num,Pct,Num,Pct,,,,,
Jawaan Taylor,T,54,100%,0,0%,5,19%,1,Chiefs,1.0,2024,1
Creed Humphrey,C,54,100%,0,0%,5,19%,1,Chiefs,1.0,2024,1
Kingsley Suamataia,T,54,100%,0,0%,5,19%,1,Chiefs,1.0,2024,1
Trey Smith,G,54,100%,0,0%,5,19%,1,Chiefs,1.0,2024,1
Patrick Mahomes,QB,54,100%,0,0%,0,0%,1,Chiefs,1.0,2024,1
Joe Thuney,G,54,100%,0,0%,0,0%,1,Chiefs,1.0,2024,1
Travis Kelce,TE,48,89%,0,0%,0,0%,1,Chiefs,1.0,2024,1
Isiah Pacheco,RB,43,80%,0,0%,0,0%,1,Chiefs,1.0,2024,1
Rashee Rice,WR,42,78%,0,0%,0,0%,1,Chiefs,1.0,2024,1
Xavier Worthy,WR,34,63%,0,0%,0,0%,1,Chiefs,1.0,2024,1
Noah Gray,TE,29,54%,0,0%,15,58%,1,Chiefs,1.0,2024,1
Justin Watson,WR,28,52%,0,0%,2,8%,1,Chiefs,1.0,2024,1
JuJu Smith-Schuster,WR,12,22%,0,0%,0,0%,1,Chiefs,1.0,2024,1
Jared Wiley,TE,11,20%,0,0%,0,0%,1,Chiefs,1.0,2024,1
Skyy Moore,WR,10,19%,0,0%,0,0%,1,Chiefs,1.0,2024,1
Samaje Perine,RB,8,15%,0,0%,0,0%,1,Chiefs,1.0,2024,1
Carson Steele,RB,5,9%,0,0%,16,62%,1,Chiefs,1.0,2024,1
Justin Reid,SS,0,0%,80,100%,5,19%,1,Chiefs,1.0,2024,1
Nick Bolton,LB,0,0%,80,100%,5,19%,1,Chiefs,1.0,2024,1
Bryan Cook,FS,0,0%,80,100%,0,0%,1,Chiefs,1.0,2024,1
Trent McDuffie,CB,0,0%,80,100%,0,0%,1,Chiefs,1.0,2024,1
Jaylen Watson,CB,0,0%,77,96%,6,23%,1,Chiefs,1.0,2024,1
Drue Tranquill,LB,0,0%,67,84%,0,0%,1,Chiefs,1.0,2024,1
George Karlaftis III,DE,0,0%,64,80%,5,19%,1,Chiefs,1.0,2024,1
Tershawn Wharton,DT,0,0%,61,76%,5,19%,1,Chiefs,1.0,2024,1
Chris Jones,DT,0,0%,57,71%,0,0%,1,Chiefs,1.0,2024,1
Leo Chenal,LB,0,0%,48,60%,21,81%,1,Chiefs,1.0,2024,1
Chamarri Conner,FS,0,0%,46,58%,21,81%,1,Chiefs,1.0,2024,1
Michael Danna,DE,0,0%,45,56%,5,19%,1,Chiefs,1.0,2024,1
Joshua Williams,CB,0,0%,32,40%,20,77%,1,Chiefs,1.0,2024,1
Mike Pennel,NT,0,0%,23,29%,0,0%,1,Chiefs,1.0,2024,1
Felix Anudike-Uzomah,DE,0,0%,18,23%,0,0%,1,Chiefs,1.0,2024,1
Derrick Nnadi,DT,0,0%,13,16%,5,19%,1,Chiefs,1.0,2024,1
Malik Herring,DE,0,0%,9,11%,0,0%,1,Chiefs,1.0,2024,1
Jaden Hicks,SS,0,0%,0,0%,21,81%,1,Chiefs,1.0,2024,1
Jack Cochrane,LB,0,0%,0,0%,21,81%,1,Chiefs,1.0,2024,1
Christian Roland-Wallace,CB,0,0%,0,0%,16,62%,1,Chiefs,1.0,2024,1
Cam Jones,LB,0,0%,0,0%,16,62%,1,Chiefs,1.0,2024,1
Nazeeh Johnson,CB,0,0%,0,0%,12,46%,1,Chiefs,1.0,2024,1
Harrison Butker,K,0,0%,0,0%,11,42%,1,Chiefs,1.0,2024,1
James Winchester,LS,0,0%,0,0%,8,31%,1,Chiefs,1.0,2024,1
Matt Araiza,P,0,0%,0,0%,8,31%,1,Chiefs,1.0,2024,1
Mecole Hardman,WR,0,0%,0,0%,7,27%,1,Chiefs,1.0,2024,1
Hunter Nourzad,C,0,0%,0,0%,5,19%,1,Chiefs,1.0,2024,1
Wanya Morris,T,0,0%,0,0%,5,19%,1,Chiefs,1.0,2024,1
Mike Caliendo,G,0,0%,0,0%,5,19%,1,Chiefs,1.0,2024,1
