Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,week,year,game_id
Isaiah Likely,BAL,12,9,111,1,5.0,40,4.4,71,7.9,8.2,0,,0,0.0,0,130.9,1.0,2024,1
Zay Flowers,BAL,10,6,37,0,1.0,9,1.5,28,4.7,5.8,0,,0,0.0,0,67.5,1.0,2024,1
Justice Hill,BAL,8,6,52,0,2.0,-7,-1.2,59,9.8,-1.5,1,6.0,0,0.0,0,91.7,1.0,2024,1
Mark Andrews,BAL,2,2,14,0,1.0,11,5.5,3,1.5,5.5,0,,0,0.0,0,95.8,1.0,2024,1
Rashod Bateman,BAL,5,2,53,0,2.0,48,24.0,5,2.5,24.0,0,,0,0.0,0,79.6,1.0,2024,1
Nelson Agholor,BAL,1,1,6,0,,6,6.0,0,0.0,6.0,0,,0,0.0,0,91.7,1.0,2024,1
Derrick Henry,BAL,2,0,0,0,0.0,0,,0,,-5.0,0,,0,0.0,0,39.6,1.0,2024,1
Rashee Rice,KAN,9,7,103,0,5.0,30,4.3,73,10.4,5.3,1,7.0,0,0.0,1,74.8,1.0,2024,1
Noah Gray,KAN,3,3,37,0,2.0,21,7.0,16,5.3,7.0,0,,0,0.0,0,118.1,1.0,2024,1
Travis Kelce,KAN,4,3,34,0,2.0,24,8.0,10,3.3,6.8,0,,1,25.0,0,100.0,1.0,2024,1
Isiah Pacheco,KAN,3,2,33,0,2.0,-7,-3.5,40,20.0,1.3,1,2.0,1,33.3,0,103.5,1.0,2024,1
Xavier Worthy,KAN,3,2,47,1,2.0,24,12.0,23,11.5,12.3,0,,0,0.0,0,149.3,1.0,2024,1
Patrick Mahomes,KAN,1,1,2,0,0.0,-1,-1.0,3,3.0,-1.0,0,,0,0.0,0,79.2,1.0,2024,1
Samaje Perine,KAN,2,1,10,0,1.0,-3,-3.0,13,13.0,-2.0,0,,0,0.0,0,64.6,1.0,2024,1
Justin Watson,KAN,1,1,25,0,1.0,15,15.0,10,10.0,15.0,0,,0,0.0,0,118.7,1.0,2024,1
JuJu Smith-Schuster,KAN,1,0,0,0,,0,,0,,13.0,0,,0,0.0,0,39.6,1.0,2024,1
