Unnamed: 0_level_0,Unnamed: 1_level_0,Rushing,Rushing,Rushing,Rushing,week,year,game_id
Player,Tm,Att,Yds,TD,Lng,,,
Jordan Love,GNB,0,0,0,0,1.0,2024,2
Malik Willis,GNB,0,0,0,0,1.0,2024,2
Josh Jacobs,GNB,16,84,0,32,1.0,2024,2
Emanuel Wilson,GNB,4,46,0,18,1.0,2024,2
Jayden Reed,GNB,1,33,1,33,1.0,2024,2
Romeo Doubs,GNB,0,0,0,0,1.0,2024,2
Tucker Kraft,GNB,0,0,0,0,1.0,2024,2
Christian Watson,GNB,0,0,0,0,1.0,2024,2
Dontayvion Wicks,GNB,0,0,0,0,1.0,2024,2
Luke Musgrave,GNB,0,0,0,0,1.0,2024,2
Jalen Hurts,PHI,13,33,0,8,1.0,2024,2
Saquon Barkley,PHI,24,109,2,34,1.0,2024,2
Kenneth Gainwell,PHI,1,2,0,2,1.0,2024,2
A.J. Brown,PHI,0,0,0,0,1.0,2024,2
DeVonta Smith,PHI,0,0,0,0,1.0,2024,2
Dallas Goedert,PHI,0,0,0,0,1.0,2024,2
Grant Calcaterra,PHI,0,0,0,0,1.0,2024,2
Jahan Dotson,PHI,0,0,0,0,1.0,2024,2
Johnny Wilson,PHI,0,0,0,0,1.0,2024,2
