Player,Pos,home_team,team,week,year,game_id
Aaron Rodgers,QB,0,Jets,1.0,2024,16
Breece Hall,RB,0,Jets,1.0,2024,16
Garrett Wilson,WR,0,Jets,1.0,2024,16
Allen Lazard,WR,0,Jets,1.0,2024,16
Tyler Conklin,TE,0,Jets,1.0,2024,16
Jeremy Ruckert,TE,0,Jets,1.0,2024,16
Morgan Moses,OL,0,Jets,1.0,2024,16
Tyron Smith,OL,0,Jets,1.0,2024,16
John Simpson,OL,0,Jets,1.0,2024,16
Alijah Vera-Tucker,G,0,Jets,1.0,2024,16
Joe Tippmann,C,0,Jets,1.0,2024,16
Quinnen Williams,DL,0,Jets,1.0,2024,16
Micheal Clemons,DL,0,Jets,1.0,2024,16
Javon Kinlaw,DT,0,Jets,1.0,2024,16
C.J. Mosley,LB,0,Jets,1.0,2024,16
Jermaine Johnson II,LB,0,Jets,1.0,2024,16
Jamien Sherwood,LB,0,Jets,1.0,2024,16
Quincy Williams,LB,0,Jets,1.0,2024,16
D.J. Reed,CB,0,Jets,1.0,2024,16
Sauce Gardner,CB,0,Jets,1.0,2024,16
Tony Adams,S,0,Jets,1.0,2024,16
Chuck Clark,S,0,Jets,1.0,2024,16
