Player,Pos,home_team,team,week,year,game_id
Joe Burrow,QB,0,Bengals,10.0,2024,139
Chase Brown,RB,0,Bengals,10.0,2024,139
Andrei Iosivas,WR,0,Bengals,10.0,2024,139
Ja'Marr Chase,WR,0,Bengals,10.0,2024,139
Jermaine Burton,WR,0,Bengals,10.0,2024,139
Drew Sample,TE,0,Bengals,10.0,2024,139
Amarius Mims,OT,0,Bengals,10.0,2024,139
Alex Cappa,G,0,Bengals,10.0,2024,139
Cody Ford,G,0,Bengals,10.0,2024,139
Cordell Volson,G,0,Bengals,10.0,2024,139
Ted Karras,C,0,Bengals,10.0,2024,139
Trey Hendrickson,DE,0,Bengals,10.0,2024,139
Sam Hubbard,DE,0,Bengals,10.0,2024,139
B.J. Hill,DT,0,Bengals,10.0,2024,139
Sheldon Rankins,DT,0,Bengals,10.0,2024,139
Germaine Pratt,LB,0,Bengals,10.0,2024,139
Logan Wilson,LB,0,Bengals,10.0,2024,139
Mike Hilton,CB,0,Bengals,10.0,2024,139
Cam Taylor-Britt,CB,0,Bengals,10.0,2024,139
DJ Turner,CB,0,Bengals,10.0,2024,139
Vonn Bell,S,0,Bengals,10.0,2024,139
Geno Stone,S,0,Bengals,10.0,2024,139
