Unnamed: 0,NYG,CAR,week,year,game_id
First Downs,24,15,10.0,2024,140
Rush-Yds-TDs,34-167-2,32-188-1,10.0,2024,140
Cmp-Att-Yd-TD-INT,22-37-190-0-2,15-25-126-1-0,10.0,2024,140
Sacked-Yards,2-15,1-8,10.0,2024,140
Net Pass Yards,175,118,10.0,2024,140
Total Yards,342,306,10.0,2024,140
Fumbles-Lost,2-1,2-1,10.0,2024,140
Turnovers,3,1,10.0,2024,140
Penalties-Yards,3-15,10-87,10.0,2024,140
Third Down Conv.,7-15,6-15,10.0,2024,140
Fourth Down Conv.,0-0,0-0,10.0,2024,140
Time of Possession,34:29,27:38,10.0,2024,140
